15,11,11,21,254,13,122,165,10,1501
27,11,12,11,111,18,82,97,10,1502
23,11,13,21,15,29,39,224,10,1502
23,11,13,21,15,29,39,224,10,1503
23,11,13,21,15,29,39,224,10,1510
11,11,15,11,67,11,26,191,10,1510
11,11,16,11,47,14,248,240,10,1510
11,11,42,11,11,12,194,51,10,1510
11,11,42,11,11,12,194,51,10,1510
11,11,42,11,11,12,194,51,10,1519
11,11,44,11,16,68,92,90,10,1519
11,11,45,11,11,26,82,146,10,1519
11,11,45,11,11,26,82,146,10,1519
11,11,45,11,11,26,82,146,10,1528
27,11,47,11,16,21,47,189,10,1528
11,11,48,11,15,95,46,106,10,1528
11,11,49,11,15,95,46,105,10,1528
11,11,49,11,15,95,46,105,10,1528
11,11,49,11,15,95,46,105,10,1536
11,11,52,11,11,12,78,157,10,1536
11,11,55,15,249,224,251,37,10,1536
23,11,11,21,15,13,130,151,10,1600
27,11,12,11,79,18,60,151,10,1601
87,11,13,21,17,28,252,20,10,1601
87,11,13,21,17,28,252,20,10,1601
87,11,13,21,17,28,252,20,10,1609
11,11,15,11,58,11,20,206,10,1609
11,11,16,11,48,14,238,249,10,1609
11,11,42,11,11,12,18,227,10,1609
11,11,42,11,11,12,18,227,10,1609
11,11,42,11,11,12,18,227,10,1618
11,11,44,11,16,69,233,203,10,1618
11,11,45,11,11,26,170,58,10,1618
11,11,45,11,11,26,170,58,10,1618
11,11,45,11,11,26,170,58,10,1627
11,11,47,11,17,12,32,202,10,1627
75,11,48,11,15,96,143,18,10,1627
75,11,49,11,15,96,143,17,10,1627
75,11,49,11,15,96,143,17,10,1627
75,11,49,11,15,96,143,17,10,1635
11,11,52,11,11,12,78,157,10,1635
11,11,55,15,249,224,251,37,10,1635
11,11,11,11,12,13,143,131,10,1701
27,11,12,11,88,18,67,135,10,1701
23,11,13,21,12,29,63,203,10,1701
23,11,13,21,12,29,63,203,10,1701
23,11,13,21,12,29,63,203,10,1709
11,11,15,11,60,11,22,202,10,1709
11,11,16,11,46,14,254,235,10,1709
11,11,42,11,11,12,62,183,10,1709
11,11,42,11,11,12,62,183,10,1710
11,11,42,11,11,12,62,183,10,1718
11,11,44,11,16,71,179,255,10,1718
11,11,45,11,11,26,213,15,10,1718
11,11,45,11,11,26,213,15,10,1718
11,11,45,11,11,26,213,15,10,1727
11,11,47,11,17,13,217,16,10,1727
11,11,48,11,15,97,239,166,10,1727
11,11,49,11,15,97,239,165,10,1727
11,11,49,11,15,97,239,165,10,1728
11,11,49,11,15,97,239,165,10,1736
11,11,52,11,11,12,78,157,10,1736
19,11,55,15,12,224,251,29,10,1736
23,11,11,21,14,13,123,159,10,1801
27,11,12,11,86,18,55,149,10,1801
119,11,13,21,17,28,13,14,10,1801
119,11,13,21,17,28,13,14,10,1802
119,11,13,21,17,28,13,14,10,1809
11,11,15,11,60,11,19,205,10,1810
11,11,16,11,48,14,239,248,10,1810
11,11,42,11,11,11,230,16,10,1810
11,11,42,11,11,11,230,16,10,1810
11,11,42,11,11,11,230,16,10,1818
11,11,44,11,16,73,65,112,10,1819
11,11,45,11,11,26,126,102,10,1819
11,11,45,11,11,26,126,102,10,1819
11,11,45,11,11,26,126,102,10,1827
75,11,47,11,17,15,230,11,10,1827
11,11,48,11,15,99,82,66,10,1827
11,11,49,11,15,99,82,65,10,1827
11,11,49,11,15,99,82,65,10,1827
11,11,49,11,15,99,82,65,10,1835
11,11,52,11,11,12,78,157,10,1835
19,11,55,15,12,232,251,21,10,1835
11,11,11,11,23,13,139,124,10,1901
27,11,12,11,60,18,39,191,10,1901
23,11,13,21,11,29,44,223,10,1901
23,11,13,21,11,29,44,223,10,1901
23,11,13,21,11,29,44,223,10,1909
11,11,15,11,52,11,15,217,10,1909
11,11,16,11,46,14,250,239,10,1909
11,11,42,11,11,11,142,104,10,1909
11,11,42,11,11,11,142,104,10,1909
11,11,42,11,11,11,142,104,10,1918
11,11,44,11,16,74,239,192,10,1918
11,11,45,11,11,26,170,58,10,1918
11,11,45,11,11,26,170,58,10,1918
11,11,45,11,11,26,170,58,10,1927
11,11,47,11,17,17,175,54,10,1927
11,11,48,11,15,100,185,217,10,1927
11,11,49,11,15,100,185,216,10,1927
11,11,49,11,15,100,185,216,10,1928
11,11,49,11,15,100,185,216,10,1935
11,11,52,11,11,12,78,157,10,1935
51,11,55,15,12,232,14,13,10,1935
23,11,11,21,12,13,97,187,10,2001
27,11,12,11,96,18,77,117,10,2001
119,11,13,21,13,28,17,14,10,2001
119,11,13,21,13,28,17,14,10,2001
119,11,13,21,13,28,17,14,10,2009
11,11,15,11,63,11,25,196,10,2009
11,11,16,11,47,14,240,248,10,2009
11,11,42,11,11,12,150,95,10,2009
11,11,42,11,11,12,150,95,10,2009
11,11,42,11,11,12,150,95,10,2018
11,11,44,11,16,76,144,30,10,2018
11,11,45,11,11,25,162,67,10,2018
11,11,45,11,11,25,162,67,10,2018
11,11,45,11,11,25,162,67,10,2027
11,11,47,11,17,19,173,54,10,2027
11,11,48,11,15,102,20,125,10,2027
11,11,49,11,15,102,20,124,10,2027
11,11,49,11,15,102,20,124,10,2027
11,11,49,11,15,102,20,124,10,2035
11,11,52,11,11,12,78,157,10,2035
51,11,55,15,12,232,14,13,10,2036
11,11,11,11,11,13,101,174,10,2101
27,11,12,11,88,18,71,131,10,2101
119,11,13,21,14,28,14,16,10,2101
119,11,13,21,14,28,14,16,10,2101
119,11,13,21,14,28,14,16,10,2109
11,11,15,11,60,11,23,201,10,2109
11,11,16,11,47,14,240,248,10,2110
11,11,42,11,11,12,106,139,10,2110
11,11,42,11,11,12,106,139,10,2110
11,11,42,11,11,12,106,139,10,2118
11,11,44,11,16,78,52,120,10,2118
11,11,45,11,11,25,206,23,10,2119
11,11,45,11,11,25,206,23,10,2119
11,11,45,11,11,25,206,23,10,2127
11,11,47,11,17,21,134,91,10,2127
11,11,48,11,15,103,119,25,10,2128
11,11,49,11,15,103,119,24,10,2128
11,11,49,11,15,103,119,24,10,2128
11,11,49,11,15,103,119,24,10,2136
11,11,52,11,11,12,78,157,10,2136
51,11,55,15,12,232,14,13,10,2136
15,11,11,21,254,13,116,171,10,2201
27,11,12,11,107,18,79,104,10,2201
23,11,13,21,13,29,19,246,10,2201
23,11,13,21,13,29,19,246,10,2202
23,11,13,21,13,29,19,246,10,2209
11,11,15,11,66,11,25,193,10,2210
