BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
23,11,44,21,21,240,132,138,10,676705
39,11,45,21,21,21,48,195,10,676714
43,11,46,11,11,31,12,220,10,676719
43,11,47,11,11,31,12,219,10,676728
23,11,48,21,21,252,159,95,10,676732
23,11,49,21,21,252,159,94,10,676739
23,11,50,21,21,252,159,93,10,676745
11,11,52,11,11,11,198,38,10,676752
11,11,55,11,27,27,35,166,10,676756
39,11,11,21,21,20,49,229,10,676765
11,11,12,11,81,11,174,32,10,676770
23,11,13,21,20,29,135,123,10,676778
59,11,14,11,11,21,11,18,10,676783
11,11,15,11,11,11,44,229,10,676789
11,11,16,11,11,14,249,20,10,676795
11,11,42,11,11,14,165,78,10,676861
23,11,43,21,21,240,129,142,10,676868
23,11,44,21,21,240,129,141,10,676872
39,11,45,21,21,20,216,28,10,676881
43,11,46,11,11,31,11,221,10,676885
43,11,47,11,11,31,11,220,10,676892
23,11,48,21,21,252,155,99,10,676898
23,11,49,21,21,252,155,98,10,676904
23,11,50,21,21,252,155,97,10,676908
11,11,52,11,11,11,198,38,10,676916
11,11,55,11,27,27,35,166,10,676921
39,11,11,21,17,20,56,226,10,676928
11,11,12,11,82,11,180,25,10,676932
23,11,13,21,20,29,98,160,10,676938
71,11,14,21,21,21,12,17,10,676943
11,11,15,11,11,11,46,227,10,676948
11,11,16,11,11,14,240,29,10,676957
11,11,42,11,11,14,253,245,10,676963
23,11,43,21,21,240,122,149,10,676971
23,11,44,21,21,240,122,148,10,676975
39,11,45,21,21,20,216,28,10,676983
43,11,46,11,11,31,12,220,10,676987
43,11,47,11,11,31,12,219,10,676995
23,11,48,21,21,252,153,101,10,677000
23,11,49,21,21,252,153,100,10,677006
23,11,50,21,21,252,153,99,10,677012
11,11,52,11,11,11,190,46,10,677021
11,11,55,11,27,27,35,166,10,677025
39,11,11,21,20,20,55,224,10,677033
11,11,12,11,81,11,209,252,10,677037
23,11,13,21,20,29,135,123,10,677045
59,11,14,11,11,21,12,17,10,677050
11,11,15,11,11,11,53,220,10,677056
11,11,16,11,11,14,249,20,10,677061
11,11,42,11,11,15,173,69,10,677065
23,11,43,21,21,240,119,152,10,677072
23,11,44,21,21,240,119,151,10,677079
71,11,45,21,21,20,15,239,10,677083
11,11,46,11,11,31,255,222,10,677089
11,11,47,11,11,31,255,221,10,677095
23,11,48,21,21,252,151,103,10,677102
23,11,49,21,21,252,151,102,10,677106
23,11,50,21,21,252,151,101,10,677113
11,11,52,11,11,11,198,38,10,677118
11,11,55,11,27,27,35,166,10,677125
39,11,11,21,21,20,54,224,10,677131
11,11,12,11,81,11,181,25,10,677137
23,11,13,21,20,29,67,191,10,677142
59,11,14,11,11,21,12,17,10,677149
11,11,15,11,11,11,46,227,10,677153
11,11,16,11,11,14,232,37,10,677160
11,11,42,11,11,14,253,245,10,677165
23,11,43,21,21,240,115,156,10,677172
23,11,44,21,21,240,115,155,10,677178
39,11,45,21,21,20,216,28,10,677184
43,11,46,11,11,31,13,219,10,677192
43,11,47,11,11,31,13,218,10,677201
23,11,48,21,21,252,152,102,10,677205
23,11,49,21,21,252,152,101,10,677213
23,11,50,21,21,252,152,100,10,677218
11,11,52,11,11,11,198,38,10,677224
11,11,55,11,27,27,35,166,10,677231
27,11,11,11,12,20,75,202,10,677238
11,11,12,11,80,11,194,13,10,677242
23,11,13,21,21,29,99,158,10,677247
59,11,14,11,11,21,17,12,10,677253
11,11,15,11,11,11,49,224,10,677257
11,11,16,11,11,14,240,29,10,677263
11,11,42,11,11,15,85,157,10,677271
23,11,43,21,21,240,113,158,10,677274
23,11,44,21,21,240,113,157,10,677282
39,11,45,21,21,21,136,107,10,677287
43,11,46,11,11,31,13,219,10,677294
43,11,47,11,11,31,13,218,10,677301
23,11,48,21,21,252,153,101,10,677308
23,11,49,21,21,252,153,100,10,677313
23,11,50,21,21,252,153,99,10,677320
11,11,52,11,11,11,198,38,10,677324
11,11,55,11,27,27,35,166,10,677332
27,11,11,11,12,20,70,207,10,677337
11,11,12,11,82,11,184,21,10,677345
23,11,13,21,18,29,113,147,10,677350
59,11,14,11,11,21,16,13,10,677356
11,11,15,11,11,11,47,226,10,677361
11,11,16,11,11,14,243,26,10,677365
11,11,42,11,11,14,253,245,10,677372
23,11,43,21,21,240,113,158,10,677377
23,11,44,21,21,240,113,157,10,677382
39,11,45,21,21,21,92,151,10,677388
43,11,46,11,11,31,15,217,10,677394
43,11,47,11,11,31,15,216,10,677400
23,11,48,21,21,252,151,103,10,677405
23,11,49,21,21,252,151,102,10,677414
23,11,50,21,21,252,151,101,10,677418
11,11,52,11,11,11,198,38,10,677425
11,11,55,11,27,27,35,166,10,677432
27,11,11,11,13,20,57,219,10,677438
11,11,12,11,81,11,171,35,10,677444
11,11,13,11,11,29,113,144,10,677449
59,11,14,11,11,21,13,16,10,677453
11,11,15,11,11,11,44,229,10,677460
11,11,16,11,11,14,243,26,10,677465
11,11,42,11,11,14,209,34,10,677469
23,11,43,21,21,240,110,161,10,677476
23,11,44,21,21,240,110,160,10,677482
71,11,45,21,21,20,15,239,10,677488
43,11,46,11,11,31,15,217,10,677494
43,11,47,11,11,31,15,216,10,677502
23,11,48,21,21,252,154,100,10,677506
23,11,49,21,21,252,154,99,10,677514
23,11,50,21,21,252,154,98,10,677519
11,11,52,11,11,11,198,38,10,677528
