BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
23,11,49,21,21,234,64,207,10,95452
23,11,50,21,21,234,64,206,10,95460
43,11,52,11,11,11,17,229,10,95465
11,11,55,11,43,27,11,174,10,95472
39,11,11,21,20,19,177,103,10,95478
27,11,12,11,78,21,226,238,10,95484
11,11,13,11,11,29,83,174,10,95489
27,11,14,11,11,21,189,85,10,95494
27,11,15,11,12,21,221,51,10,95502
23,11,16,21,19,14,233,38,10,95507
39,11,42,21,21,16,229,22,10,95594
39,11,43,21,21,19,165,82,10,95601
39,11,44,21,21,19,165,81,10,95606
39,11,45,21,21,13,74,177,10,95613
11,11,46,11,11,30,12,211,10,95617
11,11,47,11,11,30,12,210,10,95624
23,11,48,21,21,234,24,248,10,95629
23,11,49,21,21,234,24,247,10,95635
23,11,50,21,21,234,24,246,10,95640
43,11,52,11,11,11,17,229,10,95645
11,11,55,11,43,27,11,174,10,95650
39,11,11,21,20,19,171,109,10,95657
27,11,12,11,86,21,232,224,10,95663
11,11,13,11,11,29,62,195,10,95667
27,11,14,11,11,21,187,87,10,95673
27,11,15,11,14,21,223,47,10,95678
23,11,16,21,19,14,228,43,10,95683
39,11,42,21,21,17,17,233,10,95687
39,11,43,21,21,19,171,76,10,95693
39,11,44,21,21,19,171,75,10,95698
103,11,45,21,21,12,242,20,10,95702
11,11,46,11,11,30,35,188,10,95708
11,11,47,11,11,30,35,187,10,95714
23,11,48,21,21,233,241,32,10,95718
23,11,49,21,21,233,241,31,10,95726
23,11,50,21,21,233,241,30,10,95730
11,11,52,11,11,11,246,245,10,95736
11,11,55,11,43,27,11,174,10,95742
39,11,11,21,19,19,175,106,10,95746
27,11,12,11,82,21,246,214,10,95753
23,11,13,21,16,29,90,172,10,95757
27,11,14,11,11,21,188,86,10,95761
27,11,15,11,13,21,226,45,10,95767
23,11,16,21,17,14,235,38,10,95771
39,11,42,21,21,17,105,145,10,95778
39,11,43,21,21,19,176,71,10,95784
39,11,44,21,21,19,176,70,10,95788
39,11,45,21,21,13,30,221,10,95795
11,11,46,11,11,30,60,163,10,95800
11,11,47,11,11,30,60,162,10,95806
23,11,48,21,21,233,200,73,10,95812
23,11,49,21,21,233,200,72,10,95818
23,11,50,21,21,233,200,71,10,95825
75,11,52,11,11,11,230,16,10,95830
11,11,55,11,43,27,11,174,10,95835
39,11,11,21,20,19,170,110,10,95840
27,11,12,11,84,21,247,211,10,95845
23,11,13,21,18,29,94,166,10,95849
27,11,14,11,11,21,187,87,10,95854
27,11,15,11,14,21,227,43,10,95861
23,11,16,21,18,14,236,36,10,95865
39,11,42,21,21,17,149,101,10,95872
39,11,43,21,21,19,180,67,10,95878
39,11,44,21,21,19,180,66,10,95885
39,11,45,21,21,13,30,221,10,95893
11,11,46,11,11,30,88,135,10,95897
11,11,47,11,11,30,88,134,10,95904
23,11,48,21,21,233,156,117,10,95910
23,11,49,21,21,233,156,116,10,95917
23,11,50,21,21,233,156,115,10,95920
11,11,52,11,11,11,246,245,10,95928
11,11,55,11,43,27,11,174,10,95934
27,11,11,11,25,19,156,109,10,95941
27,11,12,11,29,21,199,59,10,95946
11,11,13,11,21,29,49,198,10,95949
27,11,14,11,16,21,183,86,10,95957
31,11,15,21,254,21,215,70,10,95961
11,11,16,11,11,14,225,44,10,95967
39,11,42,21,21,16,53,198,10,95971
39,11,43,21,21,19,204,43,10,95977
39,11,44,21,21,19,204,42,10,95983
39,11,45,21,21,12,111,141,10,95987
11,11,46,11,11,30,63,160,10,95992
11,11,47,11,11,30,63,159,10,96002
23,11,48,21,21,233,126,147,10,96007
23,11,49,21,21,233,126,146,10,96017
23,11,50,21,21,233,126,145,10,96022
11,11,52,11,11,11,238,253,10,96029
11,11,55,11,43,27,11,174,10,96034
31,11,11,21,235,19,112,198,10,96042
27,11,12,11,105,21,213,224,10,96046
15,11,13,21,255,29,77,191,10,96051
39,11,14,21,14,21,173,108,10,96058
27,11,15,11,20,21,218,46,10,96062
23,11,16,21,15,14,232,43,10,96069
39,11,42,21,21,16,141,110,10,96074
39,11,43,21,21,19,161,86,10,96080
39,11,44,21,21,19,161,85,10,96084
39,11,45,21,21,11,103,150,10,96092
11,11,46,11,11,30,144,79,10,96097
11,11,47,11,11,30,144,78,10,96103
23,11,48,21,21,233,67,206,10,96111
23,11,49,21,21,233,67,205,10,96118
23,11,50,21,21,233,67,204,10,96125
