BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
11,11,55,11,27,35,51,142,10,755032
39,11,11,21,19,20,73,207,10,755041
11,11,12,11,82,11,188,17,10,755045
23,11,13,21,20,29,115,143,10,755054
59,11,14,11,11,21,17,12,10,755058
11,11,15,11,11,11,48,225,10,755064
11,11,16,11,11,14,244,25,10,755070
11,11,42,11,11,15,41,201,10,755077
23,11,43,21,21,231,77,203,10,755082
23,11,44,21,21,231,77,202,10,755090
39,11,45,21,21,21,136,107,10,755094
11,11,46,11,11,35,18,200,10,755102
11,11,47,11,11,35,18,199,10,755107
55,11,48,21,21,250,21,245,10,755181
55,11,49,21,21,250,21,244,10,755188
55,11,50,21,21,250,21,243,10,755193
11,11,52,11,11,11,198,38,10,755199
11,11,55,11,27,35,51,142,10,755205
27,11,11,11,13,20,50,226,10,755212
11,11,12,11,85,11,185,17,10,755216
11,11,13,11,12,29,120,136,10,755221
59,11,14,11,11,21,11,18,10,755227
11,11,15,11,12,11,47,225,10,755231
11,11,16,11,11,14,245,24,10,755238
11,11,42,11,11,14,253,245,10,755243
23,11,43,21,21,231,73,207,10,755249
23,11,44,21,21,231,73,206,10,755255
39,11,45,21,21,20,216,28,10,755261
11,11,46,11,11,35,22,196,10,755265
11,11,47,11,11,35,22,195,10,755272
55,11,48,21,21,250,20,246,10,755279
55,11,49,21,21,250,20,245,10,755284
55,11,50,21,21,250,20,244,10,755291
11,11,52,11,11,11,198,38,10,755295
11,11,55,11,27,35,51,142,10,755303
27,11,11,11,12,20,53,224,10,755307
11,11,12,11,84,11,181,22,10,755314
23,11,13,21,19,29,86,173,10,755320
59,11,14,11,11,21,12,17,10,755325
11,11,15,11,11,11,46,227,10,755329
11,11,16,11,11,14,237,32,10,755335
11,11,42,11,11,14,253,245,10,755341
23,11,43,21,21,231,71,209,10,755345
23,11,44,21,21,231,71,208,10,755353
39,11,45,21,21,20,216,28,10,755357
11,11,46,11,11,35,25,193,10,755363
11,11,47,11,11,35,25,192,10,755369
55,11,48,21,21,250,17,249,10,755375
55,11,49,21,21,250,17,248,10,755380
55,11,50,21,21,250,17,247,10,755389
11,11,52,11,11,11,198,38,10,755394
11,11,55,11,27,35,51,142,10,755402
39,11,11,21,18,20,31,250,10,755407
11,11,12,11,83,11,160,44,10,755412
23,11,13,21,21,29,128,129,10,755418
39,11,14,21,21,21,251,23,10,755423
11,11,15,11,11,11,41,232,10,755427
11,11,16,11,11,14,247,22,10,755432
11,11,42,11,11,14,77,166,10,755439
23,11,43,21,21,231,67,213,10,755444
23,11,44,21,21,231,67,212,10,755452
39,11,45,21,21,20,84,160,10,755456
11,11,46,11,11,35,29,189,10,755463
11,11,47,11,11,35,29,188,10,755468
55,11,48,21,21,250,18,248,10,755475
55,11,49,21,21,250,18,247,10,755480
55,11,50,21,21,250,18,246,10,755487
11,11,52,11,11,11,190,46,10,755493
11,11,55,11,27,35,51,142,10,755503
39,11,11,21,21,20,41,237,10,755507
11,11,12,11,82,11,192,13,10,755513
23,11,13,21,20,29,116,142,10,755519
27,11,14,11,11,21,254,20,10,755524
11,11,15,11,11,11,49,224,10,755528
11,11,16,11,11,14,244,25,10,755532
11,11,42,11,11,15,85,157,10,755540
23,11,43,21,21,231,63,217,10,755544
23,11,44,21,21,231,63,216,10,755552
39,11,45,21,21,20,172,72,10,755556
11,11,46,11,11,35,32,186,10,755562
11,11,47,11,11,35,32,185,10,755566
55,11,48,21,21,250,17,249,10,755572
55,11,49,21,21,250,17,248,10,755579
55,11,50,21,21,250,17,247,10,755583
11,11,52,11,11,11,198,38,10,755590
11,11,55,11,27,35,51,142,10,755595
39,11,11,21,19,20,52,228,10,755602
11,11,12,11,83,11,186,18,10,755606
23,11,13,21,21,29,91,166,10,755612
59,11,14,11,11,21,12,17,10,755620
11,11,15,11,11,11,47,226,10,755625
11,11,16,11,11,14,238,31,10,755631
11,11,42,11,11,15,41,201,10,755636
23,11,43,21,21,231,58,222,10,755642
23,11,44,21,21,231,58,221,10,755647
39,11,45,21,21,20,216,28,10,755653
11,11,46,11,11,35,36,182,10,755659
11,11,47,11,11,35,36,181,10,755664
55,11,48,21,21,250,15,251,10,755671
55,11,49,21,21,250,15,250,10,755676
55,11,50,21,21,250,15,249,10,755684
11,11,52,11,11,11,198,38,10,755689
11,11,55,11,27,35,51,142,10,755695
27,11,11,11,11,20,49,229,10,755701
75,11,12,11,84,11,197,16,10,755708
11,11,13,11,11,29,88,169,10,755712
59,11,14,11,11,21,11,18,10,755720
11,11,15,11,11,11,50,223,10,755726
11,11,16,11,11,14,237,32,10,755732
11,11,42,11,11,15,129,113,10,755737
23,11,43,21,21,231,54,226,10,755744
23,11,44,21,21,231,54,225,10,755748
39,11,45,21,21,20,216,28,10,755756
11,11,46,11,11,35,39,179,10,755761
11,11,47,11,11,35,39,178,10,755769
55,11,48,21,21,250,13,253,10,755774
55,11,49,21,21,250,13,252,10,755780
55,11,50,21,21,250,13,251,10,755786
11,11,52,11,11,11,198,38,10,755792
11,11,55,11,27,35,51,142,10,755797
27,11,11,11,11,20,62,216,10,755803
75,11,12,11,81,11,199,17,10,755809
11,11,13,11,11,29,101,156,10,755815
59,11,14,11,11,21,14,15,10,755823
11,11,15,11,11,11,50,223,10,755827
11,11,16,11,11,14,240,29,10,755836
11,11,42,11,11,15,85,157,10,755841
23,11,43,21,21,231,51,229,10,755847
23,11,44,21,21,231,51,228,10,755853
39,11,45,21,21,21,48,195,10,755860
11,11,46,11,11,35,42,176,10,755864
11,11,47,11,11,35,42,175,10,755873
55,11,48,21,21,250,13,253,10,755878
55,11,49,21,21,250,13,252,10,755886
55,11,50,21,21,250,13,251,10,755889
11,11,52,11,11,11,198,38,10,755895
11,11,55,11,27,35,51,142,10,755901
39,11,11,21,20,20,42,237,10,755908
75,11,12,11,82,11,199,16,10,755913
11,11,13,11,12,29,115,141,10,755920
27,11,14,11,11,21,254,20,10,755924
11,11,15,11,11,11,50,223,10,755930
11,11,16,11,11,14,244,25,10,755936
11,11,42,11,11,15,85,157,10,755941
23,11,43,21,21,231,51,229,10,755947
23,11,44,21,21,231,51,228,10,755953
39,11,45,21,21,20,172,72,10,755958
