BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
11,11,52,11,11,12,134,101,10,205552
11,11,55,11,236,195,67,12,10,205556
27,11,11,11,12,18,222,57,10,205565
11,11,12,11,84,11,17,186,10,205570
23,11,13,21,20,29,41,217,10,205576
75,11,14,11,11,11,16,13,10,205590
11,11,15,11,11,11,38,235,10,205598
11,11,16,11,11,14,247,22,10,205602
11,11,42,11,11,14,34,209,10,205609
11,11,43,11,11,64,99,93,10,205729
11,11,44,11,11,64,99,92,10,205731
11,11,45,11,11,11,142,101,10,205741
23,11,46,21,20,132,17,105,10,205746
23,11,47,21,20,132,17,104,10,205751
23,11,48,21,21,64,133,54,10,205754
23,11,49,21,21,64,133,53,10,205758
23,11,50,21,21,64,133,52,10,205766
11,11,52,11,11,12,134,101,10,205770
11,11,55,11,236,195,67,12,10,205785
39,11,11,21,19,18,213,69,10,205791
11,11,12,11,82,11,33,172,10,205797
23,11,13,21,19,29,31,228,10,205800
75,11,14,11,11,11,14,15,10,205803
11,11,15,11,11,11,42,231,10,205807
11,11,16,11,11,14,244,25,10,205811
11,11,42,11,11,14,121,122,10,205814
11,11,43,11,11,64,105,87,10,205818
11,11,44,11,11,64,105,86,10,205821
11,11,45,11,11,11,98,145,10,205824
23,11,46,21,20,132,13,109,10,205829
23,11,47,21,20,132,13,108,10,205840
23,11,48,21,21,64,131,56,10,205852
23,11,49,21,21,64,131,55,10,205862
23,11,50,21,21,64,131,54,10,205869
11,11,52,11,11,12,134,101,10,205871
11,11,55,11,236,195,67,12,10,205874
39,11,11,21,18,18,212,71,10,205884
11,11,12,11,80,11,12,195,10,205889
11,11,13,11,12,29,40,216,10,205894
75,11,14,11,11,11,14,15,10,205901
23,11,15,21,21,11,37,236,10,205907
11,11,16,11,11,14,247,22,10,205913
11,11,42,11,11,13,246,253,10,205921
11,11,43,11,11,64,104,88,10,205924
11,11,44,11,11,64,104,87,10,205930
11,11,45,11,11,11,98,145,10,205933
55,11,46,21,20,131,15,118,10,205938
55,11,47,21,20,131,15,117,10,205948
23,11,48,21,21,64,121,66,10,205952
23,11,49,21,21,64,121,65,10,205960
23,11,50,21,21,64,121,64,10,205964
11,11,52,11,11,12,134,101,10,205970
11,11,55,11,236,195,67,12,10,205973
39,11,11,21,21,18,209,71,10,205979
11,11,12,11,80,11,32,175,10,205991
23,11,13,21,19,29,61,198,10,206001
75,11,14,11,11,11,13,16,10,206006
23,11,15,21,21,11,42,231,10,206009
11,11,16,11,11,14,252,17,10,206015
11,11,42,11,11,14,121,122,10,206023
11,11,43,11,11,64,104,88,10,206028
11,11,44,11,11,64,104,87,10,206035
