BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
11,11,42,11,11,13,246,253,10,388784
11,11,43,11,11,74,93,89,10,388796
11,11,44,11,11,74,93,88,10,388800
39,11,45,21,21,21,180,63,10,388809
23,11,46,21,20,89,222,198,10,388814
23,11,47,21,20,89,222,197,10,388826
23,11,48,21,21,26,40,185,10,388833
23,11,49,21,21,26,40,184,10,388844
23,11,50,21,21,26,40,183,10,388855
11,11,52,11,11,12,126,109,10,388861
11,11,55,12,28,243,83,155,10,388867
27,11,11,11,13,18,179,99,10,388872
11,11,12,11,74,11,14,199,10,388879
11,11,13,11,11,29,49,208,10,389013
59,11,14,11,11,21,17,12,10,389025
23,11,15,21,19,11,37,238,10,389030
11,11,16,11,11,14,249,20,10,389038
11,11,42,11,11,13,246,253,10,389054
11,11,43,11,11,74,96,86,10,389080
11,11,44,11,11,74,96,85,10,389108
39,11,45,21,21,21,136,107,10,389121
23,11,46,21,20,89,203,217,10,389135
23,11,47,21,20,89,203,216,10,389151
23,11,48,21,21,26,39,186,10,389166
23,11,49,21,21,26,39,185,10,389181
23,11,50,21,21,26,39,184,10,389198
11,11,52,11,11,12,118,117,10,389204
11,11,55,12,28,243,83,155,10,389215
39,11,11,21,21,18,218,62,10,389232
59,11,12,11,72,21,17,208,10,389238
23,11,13,21,21,29,32,225,10,389251
75,11,14,11,11,11,15,14,10,389263
23,11,15,21,19,11,36,239,10,389267
11,11,16,11,11,14,245,24,10,389276
11,11,42,11,11,13,202,42,10,389292
11,11,43,11,11,74,94,88,10,389298
11,11,44,11,11,74,94,87,10,389312
11,11,45,11,11,11,142,101,10,389322
23,11,46,21,20,89,170,250,10,389335
23,11,47,21,20,89,170,249,10,389343
23,11,48,21,21,26,37,188,10,389357
23,11,49,21,21,26,37,187,10,389368
23,11,50,21,21,26,37,186,10,389388
11,11,52,11,11,12,118,117,10,389398
11,11,55,12,28,243,83,155,10,389407
39,11,11,21,18,18,199,84,10,389422
59,11,12,11,81,21,20,196,10,389437
23,11,13,21,20,29,61,197,10,389453
123,11,14,11,11,21,21,18,10,389458
11,11,15,11,11,11,37,236,10,389468
11,11,16,11,11,14,252,17,10,389482
11,11,42,11,11,13,246,253,10,389502
11,11,43,11,11,74,88,94,10,389514
11,11,44,11,11,74,88,93,10,389523
39,11,45,21,21,21,224,19,10,389528
23,11,46,21,20,89,147,18,10,389536
23,11,47,21,20,89,147,17,10,389541
23,11,48,21,21,26,30,195,10,389545
23,11,49,21,21,26,30,194,10,389558
23,11,50,21,21,26,30,193,10,389570
11,11,52,11,11,12,134,101,10,389574
11,11,55,12,28,243,83,155,10,389593
27,11,11,11,14,18,213,64,10,389605
27,11,12,11,80,21,247,215,10,389625
23,11,13,21,21,29,46,211,10,389631
75,11,14,11,12,11,14,14,10,389645
23,11,15,21,21,11,33,240,10,389657
11,11,16,11,11,14,248,21,10,389662
11,11,42,11,11,13,114,130,10,389676
11,11,43,11,11,74,89,93,10,389687
11,11,44,11,11,74,89,92,10,389696
11,11,45,11,11,11,98,145,10,389707
23,11,46,21,20,89,135,30,10,389713
23,11,47,21,20,89,135,29,10,389733
23,11,48,21,21,26,26,199,10,389748
23,11,49,21,21,26,26,198,10,389752
23,11,50,21,21,26,26,197,10,389762
11,11,52,11,11,12,126,109,10,389768
11,11,55,12,28,243,83,155,10,389786
27,11,11,11,13,18,199,79,10,389799
11,11,12,11,86,11,23,178,10,389807
23,11,13,21,17,29,51,210,10,389812
123,11,14,11,11,21,21,18,10,389820
11,11,15,11,11,11,39,234,10,389825
23,11,16,21,21,14,249,20,10,389842
11,11,42,11,11,14,34,209,10,389852
11,11,43,11,11,74,94,88,10,389867
11,11,44,11,11,74,94,87,10,389872
39,11,45,21,21,21,224,19,10,389879
23,11,46,21,20,89,131,34,10,389885
23,11,47,21,20,89,131,33,10,389900
23,11,48,21,21,26,20,205,10,389906
23,11,49,21,21,26,20,204,10,389918
23,11,50,21,21,26,20,203,10,389928
11,11,52,11,11,12,134,101,10,389941
11,11,55,12,28,243,83,155,10,389953
27,11,11,11,12,18,210,69,10,389958
11,11,12,11,87,11,14,186,10,389968
23,11,13,21,18,29,48,212,10,389979
75,11,14,11,11,11,13,16,10,389984
11,11,15,11,11,11,37,236,10,389994
23,11,16,21,21,14,249,20,10,390009
11,11,42,11,11,13,246,253,10,390020
11,11,43,11,11,74,102,80,10,390032
11,11,44,11,11,74,102,79,10,390038
11,11,45,11,11,11,54,189,10,390047
23,11,46,21,20,89,141,24,10,390052
23,11,47,21,20,89,141,23,10,390061
23,11,48,21,21,26,12,213,10,390063
23,11,49,21,21,26,12,212,10,390067
23,11,50,21,21,26,12,211,10,390077
11,11,52,11,11,12,134,101,10,390082
11,11,55,12,28,243,83,155,10,390091
39,11,11,21,18,18,206,77,10,390102
27,11,12,11,80,21,244,218,10,390111
23,11,13,21,19,29,51,208,10,390121
75,11,14,11,11,11,12,17,10,390132
23,11,15,21,21,11,32,241,10,390136
11,11,16,11,11,14,249,20,10,390146
11,11,42,11,11,13,114,130,10,390157
11,11,43,11,11,74,99,83,10,390171
11,11,44,11,11,74,99,82,10,390182
11,11,45,11,11,11,54,189,10,390190
23,11,46,21,20,89,135,30,10,390196
23,11,47,21,20,89,135,29,10,390207
55,11,48,21,21,25,20,216,10,390232
55,11,49,21,21,25,20,215,10,390236
55,11,50,21,21,25,20,214,10,390249
11,11,52,11,11,12,134,101,10,390258
11,11,55,12,28,243,83,155,10,390265
39,11,11,21,18,18,199,84,10,390270
59,11,12,11,81,21,13,203,10,390273
11,11,13,11,11,29,44,213,10,390277
123,11,14,11,11,21,21,18,10,390281
11,11,15,11,11,11,35,238,10,390283
11,11,16,11,11,14,248,21,10,390286
11,11,42,11,11,13,202,42,10,390291
11,11,43,11,11,74,97,85,10,390295
11,11,44,11,11,74,97,84,10,390302
39,11,45,21,21,21,224,19,10,390311
23,11,46,21,20,89,102,63,10,390318
23,11,47,21,20,89,102,62,10,390330
55,11,48,21,21,25,16,220,10,390338
55,11,49,21,21,25,16,219,10,390348
55,11,50,21,21,25,16,218,10,390355
11,11,52,11,11,12,134,101,10,390363
11,11,55,12,28,243,83,155,10,390373
27,11,11,11,16,18,221,54,10,390379
59,11,12,11,77,21,13,207,10,390389
23,11,13,21,21,29,36,221,10,390403
75,11,14,11,12,11,16,12,10,390408
23,11,15,21,20,11,35,239,10,390418
11,11,16,11,11,14,246,23,10,390428
11,11,42,11,11,13,202,42,10,390432
11,11,43,11,11,74,91,91,10,390442
11,11,44,11,11,74,91,90,10,390455
11,11,45,11,11,11,142,101,10,390468
23,11,46,21,20,89,89,76,10,390479
23,11,47,21,20,89,89,75,10,390491
23,11,48,21,21,25,255,226,10,390496
23,11,49,21,21,25,255,225,10,390510
23,11,50,21,21,25,255,224,10,390516
11,11,52,11,11,12,126,109,10,390525
11,11,55,12,28,243,83,155,10,390530
39,11,11,21,17,18,202,82,10,390542
11,11,12,11,81,11,11,195,10,390545
11,11,13,11,11,29,49,208,10,390563
87,11,14,21,21,11,11,18,10,390583
11,11,15,11,11,11,37,236,10,390596
11,11,16,11,11,14,249,20,10,390603
11,11,42,11,11,13,246,253,10,390630
11,11,43,11,11,74,99,83,10,390634
11,11,44,11,11,74,99,82,10,390640
11,11,45,11,11,11,11,232,10,390643
23,11,46,21,20,89,76,89,10,390652
23,11,47,21,20,89,76,88,10,390657
23,11,48,21,21,25,253,228,10,390662
23,11,49,21,21,25,253,227,10,390672
23,11,50,21,21,25,253,226,10,390677
11,11,52,11,11,12,126,109,10,390683
11,11,55,12,28,243,83,155,10,390687
39,11,11,21,20,18,212,69,10,390693
59,11,12,11,81,21,15,201,10,390698
23,11,13,21,18,29,45,215,10,390701
75,11,14,11,11,11,14,15,10,390708
11,11,15,11,11,11,36,237,10,390711
23,11,16,21,21,14,248,21,10,390716
11,11,42,11,11,13,202,42,10,390729
11,11,43,11,11,74,105,77,10,390739
11,11,44,11,11,74,105,76,10,390749
11,11,45,11,11,11,98,145,10,390759
23,11,46,21,20,89,74,91,10,390785
23,11,47,21,20,89,74,90,10,390799
23,11,48,21,21,25,248,233,10,390806
23,11,49,21,21,25,248,232,10,390817
23,11,50,21,21,25,248,231,10,390827
11,11,52,11,11,12,134,101,10,390848
11,11,55,12,28,243,83,155,10,390855
27,11,11,11,14,18,217,60,10,390868
59,11,12,11,84,21,14,199,10,390874
23,11,13,21,19,29,45,214,10,390877
75,11,14,11,12,11,15,13,10,390880
11,11,15,11,11,11,36,237,10,390887
11,11,16,11,11,14,248,21,10,390897
11,11,42,11,11,13,202,42,10,390909
11,11,43,11,11,74,110,72,10,390914
11,11,44,11,11,74,110,71,10,390922
11,11,45,11,11,11,142,101,10,390929
23,11,46,21,20,89,63,102,10,390934
23,11,47,21,20,89,63,101,10,390946
23,11,48,21,21,25,239,242,10,390954
23,11,49,21,21,25,239,241,10,390964
23,11,50,21,21,25,239,240,10,390973
11,11,52,11,11,12,126,109,10,390985
11,11,55,12,28,243,83,155,10,390993
39,11,11,21,20,18,197,84,10,391014
27,11,12,11,83,21,254,205,10,391023
23,11,13,21,21,29,40,217,10,391031
123,11,14,11,11,21,21,18,10,391043
11,11,15,11,11,11,34,239,10,391049
11,11,16,11,11,14,247,22,10,391069
11,11,42,11,11,13,158,86,10,391088
11,11,43,11,11,74,113,69,10,391101
11,11,44,11,11,74,113,68,10,391110
39,11,45,21,21,21,224,19,10,391120
23,11,46,21,20,89,54,111,10,391130
23,11,47,21,20,89,54,110,10,391137
23,11,48,21,21,25,231,250,10,391153
23,11,49,21,21,25,231,249,10,391161
23,11,50,21,21,25,231,248,10,391175
11,11,52,11,11,12,134,101,10,391182
11,11,55,12,28,243,83,155,10,391192
27,11,11,11,13,18,184,94,10,391204
27,11,12,11,82,21,232,228,10,391208
23,11,13,21,21,29,51,206,10,391219
123,11,14,11,11,21,18,21,10,391231
11,11,15,11,11,11,29,244,10,391236
11,11,16,11,11,14,249,20,10,391246
11,11,42,11,11,13,26,218,10,391261
11,11,43,11,11,74,116,66,10,391268
11,11,44,11,11,74,116,65,10,391278
39,11,45,21,21,21,136,107,10,391295
23,11,46,21,20,89,44,121,10,391306
23,11,47,21,20,89,44,120,10,391310
23,11,48,21,21,25,228,253,10,391316
23,11,49,21,21,25,228,252,10,391320
23,11,50,21,21,25,228,251,10,391330
11,11,52,11,11,12,134,101,10,391336
11,11,55,12,28,243,83,155,10,391342
39,11,11,21,20,18,199,82,10,391351
59,11,12,11,79,21,15,203,10,391358
23,11,13,21,18,28,247,14,10,391362
123,11,14,11,11,21,21,18,10,391368
23,11,15,21,21,11,36,237,10,391383
23,11,16,21,21,14,235,34,10,391398
11,11,42,11,11,13,202,42,10,391409
11,11,43,11,11,74,114,68,10,391425
11,11,44,11,11,74,114,67,10,391434
39,11,45,21,21,21,224,19,10,391440
23,11,46,21,20,89,33,132,10,391455
23,11,47,21,20,89,33,131,10,391460
87,11,48,21,21,25,221,15,10,391469
87,11,49,21,21,25,221,14,10,391473
87,11,50,21,21,25,221,13,10,391482
11,11,52,11,11,12,134,101,10,391493
11,11,55,12,28,243,83,155,10,391502
27,11,11,11,12,18,207,72,10,391521
11,11,12,11,80,11,12,195,10,391533
23,11,13,21,20,29,40,218,10,391542
75,11,14,11,11,11,12,17,10,391548
23,11,15,21,21,11,37,236,10,391560
11,11,16,11,11,14,247,22,10,391567
11,11,42,11,11,13,246,253,10,391584
11,11,43,11,11,74,114,68,10,391590
11,11,44,11,11,74,114,67,10,391597
11,11,45,11,11,11,54,189,10,391603
23,11,46,21,20,89,22,143,10,391615
23,11,47,21,20,89,22,142,10,391620
87,11,48,21,21,25,215,21,10,391628
87,11,49,21,21,25,215,20,10,391633
87,11,50,21,21,25,215,19,10,391638
11,11,52,11,11,12,134,101,10,391645
11,11,55,12,28,243,83,155,10,391655
39,11,11,21,19,18,207,75,10,391661
59,11,12,11,81,21,18,198,10,391673
23,11,13,21,18,29,66,194,10,391685
75,11,14,11,11,11,12,17,10,391691
11,11,15,11,11,11,37,236,10,391704
23,11,16,21,21,14,253,16,10,391714
11,11,42,11,11,13,246,253,10,391718
11,11,43,11,11,74,114,68,10,391734
11,11,44,11,11,74,114,67,10,391745
11,11,45,11,11,11,54,189,10,391755
23,11,46,21,20,89,12,153,10,391760
23,11,47,21,20,89,12,152,10,391771
23,11,48,21,21,25,211,15,10,391777
23,11,49,21,21,25,211,14,10,391790
23,11,50,21,21,25,211,13,10,391802
11,11,52,11,11,12,134,101,10,391813
11,11,55,12,28,243,83,155,10,391819
39,11,11,21,18,18,197,86,10,391830
11,11,12,11,77,11,23,187,10,391840
23,11,13,21,17,29,43,218,10,391846
123,11,14,11,11,21,21,18,10,391857
23,11,15,21,20,11,39,235,10,391869
23,11,16,21,21,14,247,22,10,391880
11,11,42,11,11,14,34,209,10,391894
11,11,43,11,11,74,118,64,10,391906
11,11,44,11,11,74,118,63,10,391916
39,11,45,21,21,21,224,19,10,391921
55,11,46,21,20,88,16,160,10,391933
55,11,47,21,20,88,16,159,10,391945
23,11,48,21,21,25,203,23,10,391955
23,11,49,21,21,25,203,22,10,391961
23,11,50,21,21,25,203,21,10,391973
11,11,52,11,11,12,134,101,10,391985
11,11,55,12,28,243,83,155,10,391995
27,11,11,11,11,18,215,65,10,392006
11,11,12,11,82,11,20,185,10,392011
119,11,13,21,21,28,12,11,10,392017
75,11,14,11,11,11,14,15,10,392022
11,11,15,11,11,11,39,234,10,392029
11,11,16,11,11,14,237,32,10,392040
11,11,42,11,11,14,34,209,10,392050
11,11,43,11,11,74,123,59,10,392062
11,11,44,11,11,74,123,58,10,392071
11,11,45,11,11,11,98,145,10,392075
23,11,46,21,20,88,254,167,10,392084
23,11,47,21,20,88,254,166,10,392090
23,11,48,21,21,25,199,27,10,392122
23,11,49,21,21,25,199,26,10,392136
23,11,50,21,21,25,199,25,10,392151
11,11,52,11,11,12,134,101,10,392160
11,11,55,12,28,243,83,155,10,392163
27,11,11,11,13,18,221,57,10,392170
27,11,12,11,80,21,250,212,10,392175
23,11,13,21,19,29,46,213,10,392178
