BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
11,11,44,11,11,16,16,223,10,153102
11,11,45,11,11,11,54,189,10,153105
11,11,46,11,11,12,127,114,10,153107
11,11,47,11,11,12,127,113,10,153114
23,11,48,21,21,255,73,178,10,153118
23,11,49,21,21,255,73,177,10,153124
23,11,50,21,21,255,73,176,10,153129
11,11,52,11,11,11,198,38,10,153134
11,11,55,11,19,11,11,214,10,153136
39,11,11,21,21,18,131,149,10,153167
27,11,12,11,80,21,106,101,10,153231
119,11,13,21,19,28,12,13,10,153232
75,11,14,11,11,11,11,18,10,153238
75,11,15,11,11,11,14,14,10,153241
11,11,16,11,11,14,240,29,10,153246
11,11,42,11,11,11,98,148,10,153252
11,11,43,11,11,16,17,223,10,153255
11,11,44,11,11,16,17,222,10,153258
11,11,45,11,11,11,11,232,10,153264
11,11,46,11,11,12,126,115,10,153267
11,11,47,11,11,12,126,114,10,153270
23,11,48,21,21,255,72,179,10,153277
23,11,49,21,21,255,72,178,10,153281
23,11,50,21,21,255,72,177,10,153288
11,11,52,11,11,11,198,38,10,153292
11,11,55,11,19,11,11,214,10,153296
39,11,11,21,20,18,124,157,10,153301
27,11,12,11,85,21,106,96,10,153304
23,11,13,21,18,29,30,230,10,153308
123,11,14,11,11,21,20,19,10,153313
75,11,15,11,12,11,14,13,10,153316
11,11,16,11,11,14,247,22,10,153318
11,11,42,11,11,11,98,148,10,153324
11,11,43,11,11,16,20,220,10,153330
11,11,44,11,11,16,20,219,10,153333
39,11,45,21,21,21,224,19,10,153339
11,11,46,11,11,12,125,116,10,153341
11,11,47,11,11,12,125,115,10,153346
23,11,48,21,21,255,69,182,10,153352
23,11,49,21,21,255,69,181,10,153355
23,11,50,21,21,255,69,180,10,153362
11,11,52,11,11,11,198,38,10,153366
11,11,55,11,19,11,11,214,10,153370
27,11,11,11,12,18,114,165,10,153373
27,11,12,11,80,21,104,103,10,153376
55,11,13,21,21,28,17,251,10,153382
123,11,14,11,11,21,18,21,10,153385
75,11,15,11,11,11,14,14,10,153387
11,11,16,11,11,14,241,28,10,153394
11,11,42,11,11,11,98,148,10,153397
11,11,43,11,11,16,21,219,10,153401
11,11,44,11,11,16,21,218,10,153405
39,11,45,21,21,21,136,107,10,153410
11,11,46,11,11,12,125,116,10,153413
11,11,47,11,11,12,125,115,10,153419
23,11,48,21,21,255,67,184,10,153422
23,11,49,21,21,255,67,183,10,153427
23,11,50,21,21,255,67,182,10,153432
11,11,52,11,11,11,198,38,10,153435
11,11,55,11,19,11,11,214,10,153438
27,11,11,11,11,18,120,160,10,153467
27,11,12,11,82,21,120,85,10,153470
87,11,13,21,19,28,254,16,10,153472
123,11,14,11,11,21,19,20,10,153479
11,11,15,11,11,11,18,255,10,153481
11,11,16,11,11,14,239,30,10,153484
11,11,42,11,11,11,230,16,10,153493
11,11,43,11,11,16,19,221,10,153496
11,11,44,11,11,16,19,220,10,153501
39,11,45,21,21,21,180,63,10,153504
11,11,46,11,11,12,123,118,10,153507
11,11,47,11,11,12,123,117,10,153513
23,11,48,21,21,255,63,188,10,153517
23,11,49,21,21,255,63,187,10,153521
23,11,50,21,21,255,63,186,10,153527
11,11,52,11,11,11,198,38,10,153531
11,11,55,11,19,11,11,214,10,153534
27,11,11,11,12,18,134,145,10,153567
27,11,12,11,80,21,111,96,10,153569
23,11,13,21,21,29,16,241,10,153577
75,11,14,11,11,11,12,17,10,153579
75,11,15,11,11,11,15,13,10,153586
11,11,16,11,11,14,244,25,10,153589
11,11,42,11,11,11,142,104,10,153591
11,11,43,11,11,16,22,218,10,153597
11,11,44,11,11,16,22,217,10,153600
11,11,45,11,11,11,54,189,10,153603
11,11,46,11,11,12,121,120,10,153611
11,11,47,11,11,12,121,119,10,153614
23,11,48,21,21,255,60,191,10,153619
23,11,49,21,21,255,60,190,10,153622
23,11,50,21,21,255,60,189,10,153625
11,11,52,11,11,11,198,38,10,153631
11,11,55,11,19,11,11,214,10,153635
39,11,11,21,20,18,144,137,10,153669
27,11,12,11,82,21,109,96,10,153671
11,11,13,11,11,28,246,12,10,153674
75,11,14,11,11,11,14,15,10,153680
75,11,15,11,11,11,15,13,10,153683
11,11,16,11,11,14,237,32,10,153685
11,11,42,11,11,11,142,104,10,153693
11,11,43,11,11,16,23,217,10,153697
11,11,44,11,11,16,23,216,10,153699
11,11,45,11,11,11,98,145,10,153704
11,11,46,11,11,12,124,117,10,153707
11,11,47,11,11,12,124,116,10,153710
23,11,48,21,21,255,61,190,10,153715
23,11,49,21,21,255,61,189,10,153718
23,11,50,21,21,255,61,188,10,153722
11,11,52,11,11,11,198,38,10,153727
11,11,55,11,19,11,11,214,10,153731
27,11,11,11,12,18,145,134,10,153769
27,11,12,11,78,21,102,107,10,153772
23,11,13,21,20,28,244,15,10,153774
75,11,14,11,11,11,14,15,10,153779
75,11,15,11,11,11,13,15,10,153785
11,11,16,11,11,14,237,32,10,153788
11,11,42,11,11,11,54,192,10,153791
11,11,43,11,11,16,26,214,10,153797
11,11,44,11,11,16,26,213,10,153800
11,11,45,11,11,11,98,145,10,153803
11,11,46,11,11,12,124,117,10,153812
11,11,47,11,11,12,124,116,10,153815
23,11,48,21,21,255,59,192,10,153819
23,11,49,21,21,255,59,191,10,153822
23,11,50,21,21,255,59,190,10,153826
11,11,52,11,11,11,198,38,10,153832
11,11,55,11,19,11,11,214,10,153835
39,11,11,21,21,18,130,150,10,153867
27,11,12,11,82,21,106,99,10,153870
23,11,13,21,20,29,22,236,10,153873
75,11,14,11,11,11,11,18,10,153879
75,11,15,11,11,11,14,14,10,153881
11,11,16,11,11,14,245,24,10,153884
11,11,42,11,11,11,98,148,10,153891
11,11,43,11,11,16,25,215,10,153895
11,11,44,11,11,16,25,214,10,153900
11,11,45,11,11,11,11,232,10,153903
11,11,46,11,11,12,124,117,10,153906
11,11,47,11,11,12,124,116,10,153913
23,11,48,21,21,255,58,193,10,153918
23,11,49,21,21,255,58,192,10,153924
23,11,50,21,21,255,58,191,10,153929
11,11,52,11,11,11,198,38,10,153933
11,11,55,11,19,11,11,214,10,153936
39,11,11,21,21,18,118,162,10,153968
27,11,12,11,81,21,134,72,10,153971
23,11,13,21,19,29,20,239,10,153974
123,11,14,11,11,21,19,20,10,153978
11,11,15,11,11,11,21,252,10,153983
11,11,16,11,11,14,245,24,10,153986
11,11,42,11,11,12,62,183,10,153988
11,11,43,11,11,16,28,212,10,153997
11,11,44,11,11,16,28,211,10,154000
39,11,45,21,21,21,180,63,10,154005
11,11,46,11,11,12,122,119,10,154009
11,11,47,11,11,12,122,118,10,154013
23,11,48,21,21,255,58,193,10,154019
23,11,49,21,21,255,58,192,10,154022
23,11,50,21,21,255,58,191,10,154027
11,11,52,11,11,11,198,38,10,154029
11,11,55,11,19,11,11,214,10,154036
27,11,11,11,11,18,119,161,10,154068
27,11,12,11,82,21,115,90,10,154073
23,11,13,21,20,29,25,233,10,154077
123,11,14,11,11,21,19,20,10,154080
75,11,15,11,11,11,16,12,10,154086
11,11,16,11,11,14,246,23,10,154089
11,11,42,11,11,11,142,104,10,154092
11,11,43,11,11,16,30,210,10,154099
11,11,44,11,11,16,30,209,10,154102
