128,8,0,0,0,120,254,50
128,6,0,100,100,250,181,52
128,7,0,0,4,137,234,54
128,42,0,3,206,115,16,55
128,43,0,0,0,152,187,70
128,48,0,0,0,64,15,72
128,47,0,1,0,97,237,87
128,47,0,1,0,74,5,438
128,47,0,1,0,98,236,786
128,47,0,1,0,75,4,1137
128,47,0,1,0,99,235,2147
128,47,0,1,0,76,3,2498
128,47,0,1,0,103,231,2857
128,47,0,1,0,83,251,3887
128,47,0,1,0,103,231,4898
128,47,0,1,0,83,251,5248
128,47,0,1,0,103,231,5598
128,47,0,1,0,83,251,6618
128,47,0,1,0,103,231,6968
128,47,0,1,0,83,251,7318
128,47,0,1,0,103,231,7668
128,47,0,1,0,83,251,8028
128,47,0,1,0,103,231,9038
