BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
27,11,12,11,81,21,238,223,10,210787
23,11,13,21,13,29,23,242,10,210794
75,11,14,11,11,11,15,14,10,210797
59,11,15,11,11,21,16,12,10,210800
11,11,16,11,11,14,242,27,10,210805
39,11,42,21,21,21,92,154,10,210808
23,11,43,21,21,253,199,59,10,210812
23,11,44,21,21,253,199,58,10,210818
11,11,45,11,11,11,142,101,10,210821
23,11,46,21,21,212,89,207,10,210823
23,11,47,21,21,212,89,206,10,210830
23,11,48,21,21,166,247,93,10,210833
23,11,49,21,21,166,247,92,10,210836
23,11,50,21,21,166,247,91,10,210842
43,11,52,11,11,11,17,229,10,210909
11,11,55,11,123,67,19,46,10,210916
39,11,11,21,19,18,171,111,10,210919
27,11,12,11,81,21,235,226,10,210922
23,11,13,21,12,29,20,246,10,210929
123,11,14,11,11,21,21,18,10,210933
59,11,15,11,11,21,16,12,10,210939
11,11,16,11,11,14,242,27,10,210942
39,11,42,21,21,21,92,154,10,210946
23,11,43,21,21,253,199,59,10,210952
23,11,44,21,21,253,199,58,10,210954
39,11,45,21,21,21,224,19,10,210957
23,11,46,21,21,212,86,210,10,210964
23,11,47,21,21,212,86,209,10,210966
23,11,48,21,21,166,239,101,10,210969
23,11,49,21,21,166,239,100,10,210975
23,11,50,21,21,166,239,99,10,210981
43,11,52,11,11,11,17,229,10,210991
11,11,55,11,123,67,19,46,10,210998
39,11,11,21,16,18,171,114,10,211002
27,11,12,11,84,21,237,221,10,211010
23,11,13,21,14,29,38,226,10,211015
123,11,14,11,11,21,21,18,10,211022
59,11,15,11,11,21,16,12,10,211025
11,11,16,11,11,14,246,23,10,211033
39,11,42,21,21,21,92,154,10,211038
23,11,43,21,21,253,199,59,10,211044
23,11,44,21,21,253,199,58,10,211048
39,11,45,21,21,21,224,19,10,211050
23,11,46,21,21,212,84,212,10,211056
23,11,47,21,21,212,84,211,10,211059
23,11,48,21,21,166,235,105,10,211063
23,11,49,21,21,166,235,104,10,211069
23,11,50,21,21,166,235,103,10,211072
43,11,52,11,11,11,17,229,10,211076
11,11,55,11,123,67,19,46,10,211083
39,11,11,21,17,18,166,118,10,211087
27,11,12,11,82,21,239,221,10,211091
23,11,13,21,16,29,12,250,10,211095
123,11,14,11,11,21,19,20,10,211099
123,11,15,11,11,21,17,21,10,211104
11,11,16,11,11,14,240,29,10,211107
39,11,42,21,21,21,136,110,10,211109
23,11,43,21,21,253,197,61,10,211115
23,11,44,21,21,253,197,60,10,211121
39,11,45,21,21,21,180,63,10,211123
23,11,46,21,21,212,81,215,10,211127
23,11,47,21,21,212,81,214,10,211133
23,11,48,21,21,166,232,108,10,211137
23,11,49,21,21,166,232,107,10,211142
23,11,50,21,21,166,232,106,10,211147
43,11,52,11,11,11,17,229,10,211150
11,11,55,11,123,67,19,46,10,211154
39,11,11,21,19,18,188,94,10,211186
27,11,12,11,79,21,236,227,10,211190
15,11,13,21,254,29,77,192,10,211194
75,11,14,11,11,11,14,15,10,211197
59,11,15,11,11,21,16,12,10,211203
55,11,16,21,21,14,11,13,10,211205
39,11,42,21,21,21,92,154,10,211208
23,11,43,21,21,253,197,61,10,211212
23,11,44,21,21,253,197,60,10,211218
11,11,45,11,11,11,98,145,10,211221
23,11,46,21,21,212,76,220,10,211224
23,11,47,21,21,212,76,219,10,211231
23,11,48,21,21,166,226,114,10,211234
23,11,49,21,21,166,226,113,10,211236
23,11,50,21,21,166,226,112,10,211241
43,11,52,11,11,11,17,229,10,211248
11,11,55,11,123,67,19,46,10,211254
39,11,11,21,21,18,179,101,10,211286
27,11,12,11,80,21,239,223,10,211289
23,11,13,21,13,29,17,248,10,211291
75,11,14,11,11,11,12,17,10,211295
123,11,15,11,11,21,17,21,10,211300
11,11,16,11,11,14,241,28,10,211302
39,11,42,21,21,21,136,110,10,211305
23,11,43,21,21,253,195,63,10,211309
23,11,44,21,21,253,195,62,10,211315
11,11,45,11,11,11,54,189,10,211318
23,11,46,21,21,212,70,226,10,211323
23,11,47,21,21,212,70,225,10,211329
23,11,48,21,21,166,218,122,10,211333
23,11,49,21,21,166,218,121,10,211340
23,11,50,21,21,166,218,120,10,211344
43,11,52,11,11,11,17,229,10,211349
11,11,55,11,123,67,19,46,10,211352
39,11,11,21,20,18,173,108,10,211386
27,11,12,11,78,21,229,235,10,211390
23,11,13,21,13,29,17,248,10,211392
123,11,14,11,11,21,21,18,10,211398
71,11,15,21,21,21,14,14,10,211402
11,11,16,11,11,14,241,28,10,211406
39,11,42,21,21,21,48,198,10,211413
23,11,43,21,21,253,191,67,10,211416
23,11,44,21,21,253,191,66,10,211420
39,11,45,21,21,21,224,19,10,211425
23,11,46,21,21,212,65,231,10,211429
23,11,47,21,21,212,65,230,10,211432
23,11,48,21,21,166,216,124,10,211437
23,11,49,21,21,166,216,123,10,211439
23,11,50,21,21,166,216,122,10,211442
43,11,52,11,11,11,17,229,10,211448
11,11,55,11,123,67,19,46,10,211454
39,11,11,21,20,18,183,98,10,211486
27,11,12,11,79,21,242,221,10,211488
23,11,13,21,12,29,19,247,10,211493
75,11,14,11,11,11,12,17,10,211497
123,11,15,11,11,21,17,21,10,211500
11,11,16,11,11,14,241,28,10,211506
39,11,42,21,21,21,136,110,10,211509
23,11,43,21,21,253,191,67,10,211513
23,11,44,21,21,253,191,66,10,211519
11,11,45,11,11,11,54,189,10,211522
23,11,46,21,21,212,60,236,10,211525
23,11,47,21,21,212,60,235,10,211532
23,11,48,21,21,166,211,129,10,211535
23,11,49,21,21,166,211,128,10,211537
23,11,50,21,21,166,211,127,10,211544
43,11,52,11,11,11,17,229,10,211549
11,11,55,11,123,67,19,46,10,211554
39,11,11,21,18,18,178,105,10,211585
27,11,12,11,81,21,232,229,10,211588
23,11,13,21,11,29,18,249,10,211594
75,11,14,11,11,11,11,18,10,211597
59,11,15,11,11,21,15,13,10,211600
23,11,16,21,21,14,241,28,10,211607
39,11,42,21,21,21,48,198,10,211612
23,11,43,21,21,253,191,67,10,211617
23,11,44,21,21,253,191,66,10,211620
11,11,45,11,11,11,11,232,10,211622
23,11,46,21,21,212,57,239,10,211629
23,11,47,21,21,212,57,238,10,211633
23,11,48,21,21,166,205,135,10,211636
23,11,49,21,21,166,205,134,10,211639
23,11,50,21,21,166,205,133,10,211646
43,11,52,11,11,11,17,229,10,211650
11,11,55,11,123,67,19,46,10,211656
39,11,11,21,19,18,174,108,10,211687
27,11,12,11,81,21,222,239,10,211691
