BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
23,11,48,21,21,116,48,87,10,528790
23,11,49,21,21,116,48,86,10,528797
23,11,50,21,21,116,48,85,10,528800
43,11,52,11,11,12,17,228,10,528807
11,11,55,11,179,115,43,173,10,528812
39,11,11,21,18,18,192,91,10,528840
27,11,12,11,83,21,229,230,10,528912
119,11,13,21,14,28,15,15,10,528914
75,11,14,11,11,11,15,14,10,528919
59,11,15,11,11,21,14,14,10,528924
11,11,16,11,11,14,238,31,10,528928
39,11,42,21,21,21,48,198,10,528931
23,11,43,21,21,231,246,34,10,528934
23,11,44,21,21,231,246,33,10,528938
11,11,45,11,11,11,142,101,10,528943
23,11,46,21,21,174,182,152,10,528945
23,11,47,21,21,174,182,151,10,528949
23,11,48,21,21,116,45,90,10,528956
23,11,49,21,21,116,45,89,10,528959
23,11,50,21,21,116,45,88,10,528962
43,11,52,11,11,12,17,228,10,528969
11,11,55,11,179,115,43,173,10,528972
39,11,11,21,19,18,172,110,10,528976
27,11,12,11,82,21,218,242,10,528980
23,11,13,21,15,29,15,248,10,528985
123,11,14,11,11,21,21,18,10,528989
59,11,15,11,11,21,12,16,10,528993
11,11,16,11,11,14,240,29,10,528996
39,11,42,21,21,20,216,31,10,528999
23,11,43,21,21,231,246,34,10,529002
23,11,44,21,21,231,246,33,10,529008
39,11,45,21,21,21,224,19,10,529011
23,11,46,21,21,174,180,154,10,529014
23,11,47,21,21,174,180,153,10,529020
23,11,48,21,21,116,42,93,10,529023
23,11,49,21,21,116,42,92,10,529026
23,11,50,21,21,116,42,91,10,529032
43,11,52,11,11,12,17,228,10,529036
11,11,55,11,179,115,43,173,10,529042
39,11,11,21,17,18,163,121,10,529045
27,11,12,11,84,21,227,231,10,529049
23,11,13,21,12,29,17,249,10,529057
123,11,14,11,11,21,19,20,10,529059
59,11,15,11,11,21,14,14,10,529061
11,11,16,11,11,14,241,28,10,529068
39,11,42,21,21,21,48,198,10,529072
23,11,43,21,21,231,243,37,10,529075
23,11,44,21,21,231,243,36,10,529080
39,11,45,21,21,21,180,63,10,529083
23,11,46,21,21,174,177,157,10,529089
23,11,47,21,21,174,177,156,10,529093
23,11,48,21,21,116,36,99,10,529098
23,11,49,21,21,116,36,98,10,529101
23,11,50,21,21,116,36,97,10,529108
43,11,52,11,11,12,17,228,10,529110
11,11,55,11,179,115,43,173,10,529113
39,11,11,21,21,18,169,111,10,529141
27,11,12,11,81,21,229,232,10,529144
23,11,13,21,13,29,24,241,10,529148
123,11,14,11,11,21,20,19,10,529151
59,11,15,11,11,21,14,14,10,529157
11,11,16,11,11,14,243,26,10,529161
39,11,42,21,21,21,48,198,10,529164
23,11,43,21,21,231,241,39,10,529171
23,11,44,21,21,231,241,38,10,529174
39,11,45,21,21,21,224,19,10,529177
23,11,46,21,21,174,174,160,10,529182
23,11,47,21,21,174,174,159,10,529187
23,11,48,21,21,116,32,103,10,529190
23,11,49,21,21,116,32,102,10,529194
23,11,50,21,21,116,32,101,10,529197
43,11,52,11,11,12,17,228,10,529200
11,11,55,11,179,115,43,173,10,529204
39,11,11,21,17,18,180,104,10,529240
27,11,12,11,80,21,217,245,10,529242
23,11,13,21,12,29,24,242,10,529245
75,11,14,11,11,11,12,17,10,529249
59,11,15,11,11,21,11,17,10,529251
11,11,16,11,11,14,243,26,10,529257
39,11,42,21,21,20,216,31,10,529260
23,11,43,21,21,231,236,44,10,529263
23,11,44,21,21,231,236,43,10,529271
11,11,45,11,11,11,54,189,10,529273
23,11,46,21,21,174,173,161,10,529280
23,11,47,21,21,174,173,160,10,529283
23,11,48,21,21,116,26,109,10,529286
23,11,49,21,21,116,26,108,10,529291
23,11,50,21,21,116,26,107,10,529294
43,11,52,11,11,12,17,228,10,529297
11,11,55,11,179,115,43,173,10,529306
39,11,11,21,20,18,186,95,10,529340
27,11,12,11,82,21,218,242,10,529342
23,11,13,21,14,29,22,242,10,529345
75,11,14,11,11,11,13,16,10,529349
59,11,15,11,11,21,12,16,10,529355
11,11,16,11,11,14,242,27,10,529357
39,11,42,21,21,20,216,31,10,529362
23,11,43,21,21,231,236,44,10,529366
23,11,44,21,21,231,236,43,10,529370
11,11,45,11,11,11,54,189,10,529377
23,11,46,21,21,174,172,162,10,529379
23,11,47,21,21,174,172,161,10,529382
23,11,48,21,21,116,23,112,10,529390
23,11,49,21,21,116,23,111,10,529393
23,11,50,21,21,116,23,110,10,529398
43,11,52,11,11,12,17,228,10,529403
11,11,55,11,179,115,43,173,10,529407
39,11,11,21,18,18,176,107,10,529442
27,11,12,11,80,21,222,240,10,529444
119,11,13,21,13,28,18,13,10,529450
75,11,14,11,11,11,11,18,10,529453
59,11,15,11,11,21,13,15,10,529456
11,11,16,11,11,14,239,30,10,529463
71,11,42,21,21,20,15,242,10,529466
23,11,43,21,21,231,234,46,10,529469
23,11,44,21,21,231,234,45,10,529475
11,11,45,11,11,11,11,232,10,529478
23,11,46,21,21,174,173,161,10,529480
23,11,47,21,21,174,173,160,10,529488
23,11,48,21,21,116,17,118,10,529492
23,11,49,21,21,116,17,117,10,529499
23,11,50,21,21,116,17,116,10,529502
43,11,52,11,11,12,17,228,10,529506
11,11,55,11,179,115,43,173,10,529511
39,11,11,21,17,18,167,117,10,529542
27,11,12,11,80,21,223,239,10,529544
23,11,13,21,14,29,45,219,10,529548
123,11,14,11,11,21,20,19,10,529554
59,11,15,11,11,21,13,15,10,529557
11,11,16,11,11,14,248,21,10,529560
71,11,42,21,21,20,15,242,10,529566
23,11,43,21,21,231,232,48,10,529569
23,11,44,21,21,231,232,47,10,529573
39,11,45,21,21,21,224,19,10,529578
23,11,46,21,21,174,172,162,10,529581
23,11,47,21,21,174,172,161,10,529584
23,11,48,21,21,116,13,122,10,529590
23,11,49,21,21,116,13,121,10,529594
23,11,50,21,21,116,13,120,10,529600
43,11,52,11,11,12,17,228,10,529605
11,11,55,11,179,115,43,173,10,529608
39,11,11,21,17,18,170,114,10,529640
27,11,12,11,82,21,217,243,10,529642
23,11,13,21,12,29,41,225,10,529645
123,11,14,11,11,21,20,19,10,529652
59,11,15,11,11,21,11,17,10,529656
11,11,16,11,11,14,247,22,10,529662
39,11,42,21,21,20,216,31,10,529665
23,11,43,21,21,231,227,53,10,529668
23,11,44,21,21,231,227,52,10,529674
39,11,45,21,21,21,224,19,10,529676
23,11,46,21,21,174,167,167,10,529679
23,11,47,21,21,174,167,166,10,529684
55,11,48,21,21,115,20,126,10,529690
55,11,49,21,21,115,20,125,10,529696
55,11,50,21,21,115,20,124,10,529700
43,11,52,11,11,12,17,228,10,529706
11,11,55,11,179,115,51,165,10,529712
39,11,11,21,18,18,185,98,10,529740
27,11,12,11,80,21,215,247,10,529742
23,11,13,21,15,29,52,211,10,529745
75,11,14,11,11,11,13,16,10,529750
59,11,15,11,11,21,11,17,10,529754
11,11,16,11,11,14,250,19,10,529757
39,11,42,21,21,20,216,31,10,529763
