BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
39,11,11,21,21,18,171,109,10,564146
91,11,12,11,80,21,206,11,10,564151
23,11,13,21,12,29,15,251,10,564155
123,11,14,11,11,21,21,18,10,564159
27,11,15,11,11,21,254,19,10,564163
11,11,16,11,11,14,240,29,10,564168
39,11,42,21,21,20,172,75,10,564171
23,11,43,21,21,229,141,141,10,564176
23,11,44,21,21,229,141,140,10,564179
39,11,45,21,21,21,224,19,10,564182
23,11,46,21,21,171,69,13,10,564188
23,11,47,21,21,171,69,12,10,564191
23,11,48,21,21,110,203,193,10,564194
23,11,49,21,21,110,203,192,10,564200
23,11,50,21,21,110,203,191,10,564203
43,11,52,11,11,12,17,228,10,564209
11,11,55,11,187,115,51,157,10,564215
39,11,11,21,18,18,177,106,10,564248
27,11,12,11,83,21,209,250,10,564292
119,11,13,21,13,28,19,12,10,564298
75,11,14,11,11,11,11,18,10,564301
27,11,15,11,11,21,254,19,10,564303
11,11,16,11,11,14,239,30,10,564310
39,11,42,21,21,20,128,119,10,564313
23,11,43,21,21,229,140,142,10,564316
23,11,44,21,21,229,140,141,10,564354
11,11,45,11,11,11,11,232,10,564361
23,11,46,21,21,171,66,16,10,564364
23,11,47,21,21,171,66,15,10,564369
23,11,48,21,21,110,197,199,10,564372
23,11,49,21,21,110,197,198,10,564376
23,11,50,21,21,110,197,197,10,564380
43,11,52,11,11,12,17,228,10,564385
11,11,55,11,187,115,51,157,10,564389
39,11,11,21,19,18,171,111,10,564394
27,11,12,11,80,21,241,221,10,564404
23,11,13,21,11,29,19,248,10,564408
123,11,14,11,11,21,21,18,10,564413
123,11,15,11,11,21,17,21,10,564416
23,11,16,21,21,14,241,28,10,564418
39,11,42,21,21,21,136,110,10,564426
23,11,43,21,21,229,139,143,10,564429
23,11,44,21,21,229,139,142,10,564432
39,11,45,21,21,21,224,19,10,564436
23,11,46,21,21,171,63,19,10,564439
23,11,47,21,21,171,63,18,10,564444
23,11,48,21,21,110,195,201,10,564450
23,11,49,21,21,110,195,200,10,564453
23,11,50,21,21,110,195,199,10,564459
43,11,52,11,11,12,17,228,10,564466
11,11,55,11,187,115,51,157,10,564469
39,11,11,21,21,18,183,97,10,564473
27,11,12,11,83,21,226,233,10,564480
23,11,13,21,11,29,27,240,10,564485
75,11,14,11,11,11,12,17,10,564492
59,11,15,11,11,21,13,15,10,564494
23,11,16,21,21,14,243,26,10,564498
71,11,42,21,21,20,15,242,10,564504
23,11,43,21,21,229,137,145,10,564508
23,11,44,21,21,229,137,144,10,564512
11,11,45,11,11,11,54,189,10,564516
23,11,46,21,21,171,61,21,10,564519
23,11,47,21,21,171,61,20,10,564522
23,11,48,21,21,110,192,204,10,564528
23,11,49,21,21,110,192,203,10,564534
23,11,50,21,21,110,192,202,10,564539
43,11,52,11,11,12,17,228,10,564544
11,11,55,11,187,115,51,157,10,564547
39,11,11,21,20,18,208,73,10,564550
27,11,12,11,83,21,248,211,10,564555
23,11,13,21,12,29,23,243,10,564560
11,11,14,11,11,11,19,255,10,564563
123,11,15,11,11,21,19,19,10,564568
11,11,16,11,11,14,242,27,10,564571
39,11,42,21,21,21,180,66,10,564575
23,11,43,21,21,229,138,144,10,564583
23,11,44,21,21,229,138,143,10,564586
11,11,45,11,11,11,230,13,10,564592
23,11,46,21,21,171,57,25,10,564594
23,11,47,21,21,171,57,24,10,564597
23,11,48,21,21,110,188,208,10,564604
23,11,49,21,21,110,188,207,10,564607
23,11,50,21,21,110,188,206,10,564611
43,11,52,11,11,12,17,228,10,564616
11,11,55,11,187,115,51,157,10,564620
39,11,11,21,21,18,192,88,10,564646
27,11,12,11,79,21,228,235,10,564648
23,11,13,21,15,29,32,231,10,564655
75,11,14,11,11,11,15,14,10,564658
59,11,15,11,11,21,14,14,10,564662
11,11,16,11,11,14,245,24,10,564667
39,11,42,21,21,21,48,198,10,564670
23,11,43,21,21,229,138,144,10,564675
23,11,44,21,21,229,138,143,10,564680
11,11,45,11,11,11,142,101,10,564682
23,11,46,21,21,171,56,26,10,564685
23,11,47,21,21,171,56,25,10,564692
23,11,48,21,21,110,186,210,10,564695
23,11,49,21,21,110,186,209,10,564698
23,11,50,21,21,110,186,208,10,564703
43,11,52,11,11,12,17,228,10,564707
11,11,55,11,187,115,51,157,10,564712
39,11,11,21,20,18,187,94,10,564747
27,11,12,11,82,21,240,220,10,564750
23,11,13,21,16,29,15,247,10,564753
75,11,14,11,11,11,13,16,10,564755
123,11,15,11,11,21,17,21,10,564760
11,11,16,11,11,14,240,29,10,564767
39,11,42,21,21,21,136,110,10,564770
23,11,43,21,21,229,137,145,10,564773
23,11,44,21,21,229,137,144,10,564778
11,11,45,11,11,11,54,189,10,564782
23,11,46,21,21,171,55,27,10,564784
23,11,47,21,21,171,55,26,10,564791
23,11,48,21,21,110,183,213,10,564796
23,11,49,21,21,110,183,212,10,564801
23,11,50,21,21,110,183,211,10,564804
43,11,52,11,11,12,17,228,10,564810
11,11,55,11,187,115,51,157,10,564816
39,11,11,21,19,18,170,112,10,564846
27,11,12,11,80,21,212,250,10,564848
23,11,13,21,15,29,22,241,10,564853
123,11,14,11,11,21,20,19,10,564856
27,11,15,11,11,21,255,18,10,564860
11,11,16,11,11,14,242,27,10,564866
39,11,42,21,21,20,172,75,10,564869
23,11,43,21,21,229,138,144,10,564872
23,11,44,21,21,229,138,143,10,564880
39,11,45,21,21,21,224,19,10,564883
23,11,46,21,21,171,50,32,10,564887
23,11,47,21,21,171,50,31,10,564892
23,11,48,21,21,110,180,216,10,564895
23,11,49,21,21,110,180,215,10,564901
23,11,50,21,21,110,180,214,10,564904
43,11,52,11,11,12,17,228,10,564909
11,11,55,11,187,115,51,157,10,564915
39,11,11,21,19,18,166,116,10,564946
27,11,12,11,81,21,236,225,10,564951
23,11,13,21,15,29,12,251,10,564954
123,11,14,11,11,21,19,20,10,564958
59,11,15,11,11,21,16,12,10,564961
11,11,16,11,11,14,240,29,10,564965
39,11,42,21,21,21,92,154,10,564968
23,11,43,21,21,229,135,147,10,564971
23,11,44,21,21,229,135,146,10,564976
39,11,45,21,21,21,180,63,10,564981
23,11,46,21,21,171,46,36,10,564984
23,11,47,21,21,171,46,35,10,564988
23,11,48,21,21,110,174,222,10,564993
23,11,49,21,21,110,174,221,10,564996
23,11,50,21,21,110,174,220,10,564999
43,11,52,11,11,12,17,228,10,565005
11,11,55,11,187,115,51,157,10,565009
39,11,11,21,18,18,173,110,10,565047
27,11,12,11,81,21,231,230,10,565051
23,11,13,21,15,29,31,232,10,565055
123,11,14,11,11,21,21,18,10,565058
59,11,15,11,11,21,15,13,10,565063
11,11,16,11,11,14,244,25,10,565065
39,11,42,21,21,21,48,198,10,565068
23,11,43,21,21,229,132,150,10,565071
23,11,44,21,21,229,132,149,10,565078
39,11,45,21,21,21,224,19,10,565080
23,11,46,21,21,171,46,36,10,565083
23,11,47,21,21,171,46,35,10,565090
23,11,48,21,21,110,168,228,10,565095
23,11,49,21,21,110,168,227,10,565100
23,11,50,21,21,110,168,226,10,565103
43,11,52,11,11,12,17,228,10,565107
11,11,55,11,187,115,51,157,10,565111
39,11,11,21,16,18,179,106,10,565146
27,11,12,11,81,21,224,237,10,565150
23,11,13,21,12,29,34,232,10,565153
75,11,14,11,11,11,12,17,10,565157
59,11,15,11,11,21,13,15,10,565160
11,11,16,11,11,14,245,24,10,565166
71,11,42,21,21,20,15,242,10,565169
23,11,43,21,21,229,129,153,10,565172
23,11,44,21,21,229,129,152,10,565178
11,11,45,11,11,11,54,189,10,565181
23,11,46,21,21,171,45,37,10,565184
23,11,47,21,21,171,45,36,10,565189
23,11,48,21,21,110,164,232,10,565195
23,11,49,21,21,110,164,231,10,565201
23,11,50,21,21,110,164,230,10,565204
43,11,52,11,11,12,17,228,10,565210
11,11,55,11,187,115,51,157,10,565214
27,11,11,11,13,18,185,93,10,565246
27,11,12,11,81,21,240,221,10,565248
