BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
23,11,49,21,21,255,120,130,10,59536
23,11,50,21,21,255,120,129,10,59540
11,11,52,11,11,11,198,38,10,59544
11,11,55,11,19,43,19,174,10,59549
39,11,11,21,21,19,82,197,10,59597
11,11,12,11,78,12,50,158,10,59642
23,11,13,21,20,29,84,174,10,59644
75,11,14,11,11,11,11,18,10,59647
135,11,15,21,20,21,21,18,10,59648
11,11,16,11,11,14,251,18,10,59650
39,11,42,21,21,21,224,22,10,59652
39,11,43,21,21,13,240,13,10,59654
39,11,44,21,21,13,240,12,10,59655
11,11,45,11,11,11,11,232,10,59659
23,11,46,21,21,238,73,197,10,59661
23,11,47,21,21,238,73,196,10,59663
23,11,48,21,21,255,114,137,10,59665
23,11,49,21,21,255,114,136,10,59666
23,11,50,21,21,255,114,135,10,59668
11,11,52,11,11,11,198,38,10,59672
11,11,55,11,19,43,19,174,10,59716
27,11,11,11,13,20,22,254,10,59718
11,11,12,11,67,12,130,89,10,59721
23,11,13,21,19,29,41,218,10,59723
11,11,14,11,11,11,59,215,10,59725
23,11,15,21,17,11,29,248,10,59727
11,11,16,11,11,14,241,28,10,59729
11,11,42,11,11,13,26,218,10,59731
103,11,43,21,21,13,250,13,10,59734
103,11,44,21,21,13,250,12,10,59735
11,11,45,11,11,16,93,145,10,59737
23,11,46,21,21,238,78,192,10,59739
23,11,47,21,21,238,78,191,10,59742
23,11,48,21,21,255,116,135,10,59745
23,11,49,21,21,255,116,134,10,59747
23,11,50,21,21,255,116,133,10,59749
11,11,52,11,11,11,182,54,10,59751
11,11,55,11,19,43,19,174,10,59753
31,11,11,21,225,19,41,24,10,59796
11,11,12,11,100,12,58,128,10,59798
15,11,13,21,239,29,53,231,10,59799
63,11,14,21,254,21,12,29,10,59807
75,11,15,11,15,11,11,13,10,59809
23,11,16,21,14,14,244,32,10,59811
11,11,42,11,11,11,11,235,10,59815
39,11,43,21,21,13,195,58,10,59817
39,11,44,21,21,13,195,57,10,59818
39,11,45,21,21,20,216,28,10,59820
23,11,46,21,21,238,139,131,10,59823
23,11,47,21,21,238,139,130,10,59827
23,11,48,21,21,255,73,178,10,59829
23,11,49,21,21,255,73,177,10,59831
23,11,50,21,21,255,73,176,10,59833
11,11,52,11,11,11,142,94,10,59837
11,11,55,11,19,43,19,174,10,59839
27,11,11,11,54,18,255,237,10,59897
11,11,12,11,146,12,59,81,10,59899
15,11,13,21,178,29,41,49,10,59900
27,11,14,11,23,21,247,15,10,59905
11,11,15,11,29,11,12,243,10,59908
15,11,16,21,241,14,241,53,10,59911
11,11,42,11,11,11,54,192,10,59913
39,11,43,21,21,13,153,100,10,59915
39,11,44,21,21,13,153,99,10,59919
39,11,45,21,21,19,208,37,10,59921
23,11,46,21,21,239,32,237,10,59925
23,11,47,21,21,239,32,236,10,59927
23,11,48,21,21,254,162,90,10,59931
23,11,49,21,21,254,162,89,10,59934
23,11,50,21,21,254,162,88,10,59936
11,11,52,11,11,11,142,94,10,59939
11,11,55,11,19,35,19,182,10,59944
27,11,11,11,91,18,245,210,10,59997
11,11,12,11,245,12,60,236,10,60000
47,11,13,21,155,28,15,109,10,60002
91,11,14,11,35,21,245,15,10,60006
11,11,15,11,59,11,12,213,10,60009
15,11,16,21,234,14,232,69,10,60011
11,11,42,11,11,11,54,192,10,60015
39,11,43,21,21,14,44,208,10,60017
39,11,44,21,21,14,44,207,10,60019
39,11,45,21,21,19,164,81,10,60022
23,11,46,21,21,239,254,15,10,60025
23,11,47,21,21,239,254,14,10,60029
23,11,48,21,21,253,225,28,10,60032
23,11,49,21,21,253,225,27,10,60034
23,11,50,21,21,253,225,26,10,60037
11,11,52,11,11,11,142,94,10,60042
11,11,55,11,19,35,19,182,10,60044
27,11,11,11,18,18,246,27,10,60097
11,11,12,11,86,12,75,125,10,60098
15,11,13,21,214,29,38,16,10,60101
27,11,14,11,12,21,245,28,10,60107
75,11,15,11,11,11,16,12,10,60111
15,11,16,21,252,14,240,43,10,60113
