BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
11,11,43,11,12,127,47,81,10,218371
11,11,44,11,12,127,47,80,10,218383
11,11,45,11,11,12,18,224,10,218392
75,11,46,11,15,165,82,12,10,218398
75,11,47,11,15,165,82,11,10,218408
11,11,48,11,17,227,88,185,10,218417
11,11,49,11,17,227,88,184,10,218422
11,11,50,11,17,227,88,183,10,218428
11,11,52,11,11,12,134,101,10,218434
11,11,55,13,120,68,171,149,10,218440
27,11,11,11,18,21,30,240,10,218443
11,11,12,11,76,11,60,151,10,218450
11,11,13,11,16,29,151,101,10,218454
11,11,14,11,14,11,22,249,10,218458
27,11,15,11,11,21,242,31,10,218463
23,11,16,21,21,14,250,19,10,218469
39,11,42,21,21,19,76,172,10,218474
11,11,43,11,12,127,64,64,10,218478
11,11,44,11,12,127,64,63,10,218484
11,11,45,11,11,12,62,180,10,218534
11,11,46,11,15,165,85,254,10,218539
11,11,47,11,15,165,85,253,10,218543
11,11,48,11,17,227,57,216,10,218549
11,11,49,11,17,227,57,215,10,218554
11,11,50,11,17,227,57,214,10,218557
11,11,52,11,11,12,126,109,10,218561
11,11,55,13,120,68,171,149,10,218566
123,11,11,11,14,20,21,19,10,218570
11,11,12,11,60,11,66,161,10,218573
11,11,13,11,13,29,146,109,10,218577
75,11,14,11,12,11,17,11,10,218580
39,11,15,21,18,21,244,32,10,218586
23,11,16,21,20,14,248,22,10,218589
39,11,42,21,21,19,120,128,10,218593
11,11,43,11,12,127,76,52,10,218603
11,11,44,11,12,127,76,51,10,218607
11,11,45,11,11,11,186,57,10,218611
11,11,46,11,15,165,70,14,10,218616
11,11,47,11,15,165,70,13,10,218619
11,11,48,11,17,227,36,237,10,218624
11,11,49,11,17,227,36,236,10,218627
11,11,50,11,17,227,36,235,10,218632
11,11,52,11,11,12,110,125,10,218637
11,11,55,13,120,68,171,149,10,218641
27,11,11,11,14,21,51,223,10,218645
11,11,12,11,75,11,46,166,10,218650
11,11,13,11,11,29,135,122,10,218653
11,11,14,11,12,11,27,246,10,218656
27,11,15,11,11,21,239,34,10,218659
23,11,16,21,19,14,246,25,10,218665
103,11,42,21,21,18,244,15,10,218669
11,11,43,11,12,127,100,28,10,218674
11,11,44,11,12,127,100,27,10,218678
11,11,45,11,11,12,194,48,10,218682
11,11,46,11,15,165,58,26,10,218687
11,11,47,11,15,165,58,25,10,218690
11,11,48,11,17,226,252,22,10,218694
11,11,49,11,17,226,252,21,10,218702
11,11,50,11,17,226,252,20,10,218706
11,11,52,11,11,12,126,109,10,218714
11,11,55,13,120,68,171,149,10,218719
27,11,11,11,11,21,44,233,10,218724
11,11,12,11,81,11,53,153,10,218728
23,11,13,21,19,29,113,146,10,218733
11,11,14,11,11,11,25,249,10,218738
27,11,15,11,13,21,241,30,10,218742
23,11,16,21,18,14,240,32,10,218745
39,11,42,21,21,19,32,216,10,218750
11,11,43,11,12,127,107,21,10,218755
11,11,44,11,12,127,107,20,10,218759
11,11,45,11,11,12,150,92,10,218763
75,11,46,11,15,165,78,16,10,218769
75,11,47,11,15,165,78,15,10,218773
11,11,48,11,17,226,212,62,10,218779
11,11,49,11,17,226,212,61,10,218784
11,11,50,11,17,226,212,60,10,218789
11,11,52,11,11,12,134,101,10,218793
11,11,55,13,120,68,171,149,10,218796
27,11,11,11,12,21,44,232,10,218803
11,11,12,11,86,11,41,160,10,218805
23,11,13,21,21,29,124,133,10,218811
11,11,14,11,12,11,25,248,10,218815
27,11,15,11,14,21,238,32,10,218819
23,11,16,21,19,14,243,28,10,218830
39,11,42,21,21,18,201,48,10,218835
75,11,43,11,12,127,120,18,10,218839
75,11,44,11,12,127,120,17,10,218845
11,11,45,11,11,12,150,92,10,218850
11,11,46,11,15,165,106,233,10,218853
