BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
23,11,50,21,21,226,250,28,10,718955
43,11,52,11,11,12,17,228,10,718955
11,11,55,11,51,123,27,54,10,718955
27,11,11,11,11,19,191,88,10,719018
27,11,12,11,79,21,69,139,10,719018
23,11,13,21,20,29,70,188,10,719018
75,11,14,11,11,11,18,11,10,719027
11,11,15,11,11,11,20,253,10,719027
11,11,16,11,11,14,243,26,10,719027
11,11,42,11,11,12,18,227,10,719027
23,11,43,21,21,249,75,187,10,719036
23,11,44,21,21,249,75,186,10,719036
11,11,45,11,11,11,230,13,10,719036
11,11,46,11,11,114,235,159,10,719044
11,11,47,11,11,114,235,158,10,719045
23,11,48,21,21,226,247,33,10,719045
23,11,49,21,21,226,247,32,10,719045
23,11,50,21,21,226,247,31,10,719052
43,11,52,11,11,12,17,228,10,719052
11,11,55,11,51,123,27,54,10,719052
27,11,11,11,11,19,183,96,10,719117
27,11,12,11,80,21,68,139,10,719118
23,11,13,21,21,29,63,194,10,719118
75,11,14,11,11,11,16,13,10,719128
11,11,15,11,11,11,20,253,10,719128
11,11,16,11,11,14,241,28,10,719128
11,11,42,11,11,12,18,227,10,719128
23,11,43,21,21,249,74,188,10,719137
23,11,44,21,21,249,74,187,10,719137
11,11,45,11,11,11,142,101,10,719137
11,11,46,11,11,114,236,158,10,719144
11,11,47,11,11,114,236,157,10,719144
23,11,48,21,21,226,247,33,10,719144
23,11,49,21,21,226,247,32,10,719144
23,11,50,21,21,226,247,31,10,719152
43,11,52,11,11,12,17,228,10,719152
11,11,55,11,51,123,27,54,10,719152
27,11,11,11,11,19,184,95,10,719218
27,11,12,11,79,21,64,144,10,719218
23,11,13,21,19,29,76,183,10,719218
75,11,14,11,11,11,16,13,10,719228
11,11,15,11,11,11,19,254,10,719228
11,11,16,11,11,14,244,25,10,719228
11,11,42,11,11,11,230,16,10,719228
23,11,43,21,21,249,71,191,10,719237
23,11,44,21,21,249,71,190,10,719237
11,11,45,11,11,11,142,101,10,719237
11,11,46,11,11,114,239,155,10,719244
11,11,47,11,11,114,239,154,10,719244
23,11,48,21,21,226,246,34,10,719244
23,11,49,21,21,226,246,33,10,719245
23,11,50,21,21,226,246,32,10,719252
43,11,52,11,11,12,17,228,10,719252
11,11,55,11,51,123,27,54,10,719252
27,11,11,11,13,19,190,87,10,719318
27,11,12,11,76,21,73,138,10,719318
23,11,13,21,19,29,67,192,10,719318
75,11,14,11,11,11,18,11,10,719328
11,11,15,11,11,11,21,252,10,719328
11,11,16,11,11,14,242,27,10,719328
11,11,42,11,11,12,62,183,10,719328
23,11,43,21,21,249,72,190,10,719337
23,11,44,21,21,249,72,189,10,719337
11,11,45,11,11,11,230,13,10,719337
11,11,46,11,11,114,239,155,10,719346
11,11,47,11,11,114,239,154,10,719346
23,11,48,21,21,226,243,37,10,719346
23,11,49,21,21,226,243,36,10,719346
23,11,50,21,21,226,243,35,10,719352
43,11,52,11,11,12,17,228,10,719352
11,11,55,11,51,123,27,54,10,719352
27,11,11,11,11,19,171,108,10,719418
27,11,12,11,82,21,75,130,10,719418
23,11,13,21,19,29,75,184,10,719418
75,11,14,11,11,11,13,16,10,719427
11,11,15,11,11,11,22,251,10,719427
11,11,16,11,11,14,244,25,10,719427
11,11,42,11,11,12,62,183,10,719427
23,11,43,21,21,249,70,192,10,719436
23,11,44,21,21,249,70,191,10,719436
11,11,45,11,11,11,54,189,10,719436
11,11,46,11,11,114,243,151,10,719446
11,11,47,11,11,114,243,150,10,719446
23,11,48,21,21,226,240,40,10,719446
23,11,49,21,21,226,240,39,10,719446
23,11,50,21,21,226,240,38,10,719453
43,11,52,11,11,12,17,228,10,719453
11,11,55,11,51,123,27,54,10,719453
27,11,11,11,13,19,172,105,10,719518
27,11,12,11,81,21,59,147,10,719518
23,11,13,21,20,29,74,184,10,719518
75,11,14,11,11,11,13,16,10,719527
11,11,15,11,11,11,18,255,10,719527
11,11,16,11,11,14,244,25,10,719527
11,11,42,11,11,11,230,16,10,719527
23,11,43,21,21,249,68,194,10,719535
23,11,44,21,21,249,68,193,10,719536
11,11,45,11,11,11,54,189,10,719536
11,11,46,11,11,114,243,151,10,719546
11,11,47,11,11,114,243,150,10,719546
23,11,48,21,21,226,239,41,10,719546
23,11,49,21,21,226,239,40,10,719546
23,11,50,21,21,226,239,39,10,719552
43,11,52,11,11,12,17,228,10,719552
11,11,55,11,51,123,27,54,10,719552
27,11,11,11,11,19,180,99,10,719620
27,11,12,11,80,21,63,144,10,719620
23,11,13,21,21,29,60,197,10,719620
75,11,14,11,11,11,15,14,10,719629
11,11,15,11,11,11,19,254,10,719629
11,11,16,11,11,14,240,29,10,719629
11,11,42,11,11,11,230,16,10,719629
23,11,43,21,21,249,68,194,10,719636
23,11,44,21,21,249,68,193,10,719636
11,11,45,11,11,11,142,101,10,719636
11,11,46,11,11,114,246,148,10,719645
