BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
23,11,44,21,21,251,246,13,10,636520
11,11,45,11,11,11,54,189,10,636520
11,11,46,11,11,103,121,29,10,636529
11,11,47,11,11,103,121,28,10,636530
23,11,48,21,21,230,202,74,10,636530
23,11,49,21,21,230,202,73,10,636530
23,11,50,21,21,230,202,72,10,636538
43,11,52,11,11,12,17,228,10,636538
11,11,55,11,51,115,27,62,10,636538
27,11,11,11,11,19,177,102,10,636604
27,11,12,11,79,21,86,122,10,636604
23,11,13,21,16,29,70,192,10,636604
75,11,14,11,11,11,15,14,10,636614
11,11,15,11,11,11,24,249,10,636614
23,11,16,21,21,14,243,26,10,636614
11,11,42,11,11,12,106,139,10,636614
23,11,43,21,21,251,243,17,10,636620
23,11,44,21,21,251,243,16,10,636621
11,11,45,11,11,11,142,101,10,636621
11,11,46,11,11,103,124,26,10,636629
11,11,47,11,11,103,124,25,10,636629
23,11,48,21,21,230,198,78,10,636629
23,11,49,21,21,230,198,77,10,636629
23,11,50,21,21,230,198,76,10,636640
43,11,52,11,11,12,17,228,10,636640
11,11,55,11,51,115,27,62,10,636640
39,11,11,21,20,19,175,105,10,636702
27,11,12,11,79,21,75,133,10,636703
23,11,13,21,21,29,93,164,10,636703
75,11,14,11,11,11,14,15,10,636712
11,11,15,11,11,11,22,251,10,636712
11,11,16,11,11,14,249,20,10,636712
11,11,42,11,11,12,62,183,10,636712
23,11,43,21,21,251,240,20,10,636722
23,11,44,21,21,251,240,19,10,636722
11,11,45,11,11,11,98,145,10,636722
11,11,46,11,11,103,126,24,10,636729
11,11,47,11,11,103,126,23,10,636729
23,11,48,21,21,230,199,77,10,636729
23,11,49,21,21,230,199,76,10,636729
23,11,50,21,21,230,199,75,10,636737
43,11,52,11,11,12,17,228,10,636737
11,11,55,11,51,115,27,62,10,636737
27,11,11,11,11,19,180,99,10,636803
27,11,12,11,78,21,65,144,10,636803
23,11,13,21,18,29,89,171,10,636803
75,11,14,11,11,11,15,14,10,636812
11,11,15,11,11,11,19,254,10,636812
11,11,16,11,11,14,248,21,10,636812
11,11,42,11,11,11,230,16,10,636812
23,11,43,21,21,251,239,21,10,636820
23,11,44,21,21,251,239,20,10,636820
11,11,45,11,11,11,142,101,10,636820
11,11,46,11,11,103,130,20,10,636830
11,11,47,11,11,103,130,19,10,636830
23,11,48,21,21,230,197,79,10,636830
23,11,49,21,21,230,197,78,10,636830
23,11,50,21,21,230,197,77,10,636838
43,11,52,11,11,12,17,228,10,636838
11,11,55,11,51,115,27,62,10,636838
27,11,11,11,11,19,181,98,10,636904
27,11,12,11,80,21,60,147,10,636904
11,11,13,11,11,29,88,169,10,636904
75,11,14,11,11,11,16,13,10,636913
11,11,15,11,11,11,18,255,10,636913
11,11,16,11,11,14,247,22,10,636913
11,11,42,11,11,11,230,16,10,636913
23,11,43,21,21,251,239,21,10,636920
23,11,44,21,21,251,239,20,10,636921
11,11,45,11,11,11,142,101,10,636921
11,11,46,11,11,103,135,15,10,636930
11,11,47,11,11,103,135,14,10,636930
23,11,48,21,21,230,197,79,10,636930
23,11,49,21,21,230,197,78,10,636930
23,11,50,21,21,230,197,77,10,636938
43,11,52,11,11,12,17,228,10,636938
11,11,55,11,51,115,27,62,10,636938
27,11,11,11,11,19,169,110,10,637004
27,11,12,11,81,21,65,141,10,637004
23,11,13,21,20,29,81,177,10,637004
75,11,14,11,11,11,13,16,10,637013
11,11,15,11,11,11,19,254,10,637013
11,11,16,11,11,14,246,23,10,637013
11,11,42,11,11,11,230,16,10,637013
23,11,43,21,21,251,239,21,10,637022
23,11,44,21,21,251,239,20,10,637022
11,11,45,11,11,11,54,189,10,637022
11,11,46,11,11,103,137,13,10,637030
11,11,47,11,11,103,137,12,10,637030
23,11,48,21,21,230,197,79,10,637030
23,11,49,21,21,230,197,78,10,637030
23,11,50,21,21,230,197,77,10,637037
43,11,52,11,11,12,17,228,10,637037
11,11,55,11,51,115,27,62,10,637037
39,11,11,21,21,19,163,116,10,637103
27,11,12,11,81,21,89,117,10,637104
23,11,13,21,18,29,88,172,10,637104
75,11,14,11,11,11,11,18,10,637113
11,11,15,11,11,11,25,248,10,637113
11,11,16,11,11,14,247,22,10,637113
11,11,42,11,11,12,150,95,10,637113
23,11,43,21,21,251,238,22,10,637121
23,11,44,21,21,251,238,21,10,637121
11,11,45,11,11,11,11,232,10,637121
75,11,46,11,11,103,142,18,10,637130
75,11,47,11,11,103,142,17,10,637130
23,11,48,21,21,230,195,81,10,637130
23,11,49,21,21,230,195,80,10,637130
23,11,50,21,21,230,195,79,10,637140
43,11,52,11,11,12,17,228,10,637140
11,11,55,11,51,115,27,62,10,637140
27,11,11,11,11,19,180,99,10,637205
27,11,12,11,83,21,92,112,10,637205
23,11,13,21,19,29,69,190,10,637205
75,11,14,11,11,11,15,14,10,637212
11,11,15,11,12,11,26,246,10,637212
11,11,16,11,11,14,243,26,10,637212
11,11,42,11,11,12,194,51,10,637212
23,11,43,21,21,251,239,21,10,637221
23,11,44,21,21,251,239,20,10,637221
11,11,45,11,11,11,142,101,10,637221
75,11,46,11,11,103,145,15,10,637231
75,11,47,11,11,103,145,14,10,637231
23,11,48,21,21,230,192,84,10,637231
23,11,49,21,21,230,192,83,10,637231
23,11,50,21,21,230,192,82,10,637238
43,11,52,11,11,12,17,228,10,637238
11,11,55,11,51,115,27,62,10,637238
39,11,11,21,21,19,182,97,10,637303
27,11,12,11,79,21,79,129,10,637303
23,11,13,21,20,29,67,191,10,637303
75,11,14,11,11,11,16,13,10,637313
11,11,15,11,11,11,23,250,10,637313
11,11,16,11,11,14,242,27,10,637313
11,11,42,11,11,12,106,139,10,637313
23,11,43,21,21,251,237,23,10,637321
23,11,44,21,21,251,237,22,10,637321
11,11,45,11,11,11,142,101,10,637321
75,11,46,11,11,103,148,12,10,637329
75,11,47,11,11,103,148,11,10,637329
23,11,48,21,21,230,191,85,10,637329
23,11,49,21,21,230,191,84,10,637329
23,11,50,21,21,230,191,83,10,637338
43,11,52,11,11,12,17,228,10,637338
11,11,55,11,51,115,27,62,10,637338
27,11,11,11,14,19,168,108,10,637403
