BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
39,11,43,21,21,15,186,65,10,389171
39,11,44,21,21,15,186,64,10,389171
11,11,45,11,11,11,54,189,10,389171
11,11,46,11,11,63,128,62,10,389181
11,11,47,11,11,63,128,61,10,389181
119,11,48,21,21,243,11,17,10,389181
119,11,49,21,21,243,11,16,10,389181
119,11,50,21,21,243,11,15,10,389189
43,11,52,11,11,12,17,228,10,389189
11,11,55,11,35,67,11,142,10,389189
27,11,11,11,14,19,172,104,10,389254
27,11,12,11,81,21,78,128,10,389254
23,11,13,21,17,29,76,185,10,389254
75,11,14,11,11,11,13,16,10,389263
11,11,15,11,11,11,22,251,10,389263
11,11,16,11,11,14,246,23,10,389263
11,11,42,11,11,12,18,227,10,389263
39,11,43,21,21,15,187,64,10,389273
39,11,44,21,21,15,187,63,10,389273
39,11,45,21,21,21,224,19,10,389273
11,11,46,11,11,63,132,58,10,389283
11,11,47,11,11,63,132,57,10,389283
87,11,48,21,21,243,252,21,10,389283
87,11,49,21,21,243,252,20,10,389283
87,11,50,21,21,243,252,19,10,389290
43,11,52,11,11,12,17,228,10,389290
11,11,55,11,35,67,11,142,10,389290
39,11,11,21,21,19,174,105,10,389354
27,11,12,11,85,21,74,128,10,389354
23,11,13,21,20,29,69,189,10,389354
75,11,14,11,11,11,14,15,10,389363
11,11,15,11,12,11,21,251,10,389363
11,11,16,11,11,14,245,24,10,389363
11,11,42,11,11,12,62,183,10,389363
39,11,43,21,21,15,188,63,10,389373
39,11,44,21,21,15,188,62,10,389373
11,11,45,11,11,11,98,145,10,389373
11,11,46,11,11,63,138,52,10,389383
11,11,47,11,11,63,138,51,10,389383
23,11,48,21,21,243,249,14,10,389383
23,11,49,21,21,243,249,13,10,389383
23,11,50,21,21,243,249,12,10,389389
43,11,52,11,11,12,17,228,10,389390
11,11,55,11,35,67,11,142,10,389390
27,11,11,11,11,19,173,106,10,389455
27,11,12,11,81,21,62,144,10,389455
23,11,13,21,17,29,104,157,10,389455
75,11,14,11,11,11,14,15,10,389463
11,11,15,11,11,11,18,255,10,389463
11,11,16,11,11,14,251,18,10,389463
11,11,42,11,11,12,18,227,10,389463
39,11,43,21,21,15,186,65,10,389472
39,11,44,21,21,15,186,64,10,389472
11,11,45,11,11,11,142,101,10,389472
11,11,46,11,11,63,143,47,10,389480
11,11,47,11,11,63,143,46,10,389481
23,11,48,21,21,243,247,16,10,389481
23,11,49,21,21,243,247,15,10,389481
23,11,50,21,21,243,247,14,10,389489
43,11,52,11,11,12,17,228,10,389490
11,11,55,11,35,67,11,142,10,389490
27,11,11,11,11,19,160,119,10,389555
27,11,12,11,78,21,89,120,10,389555
23,11,13,21,19,29,63,196,10,389555
123,11,14,11,11,21,21,18,10,389564
11,11,15,11,11,11,25,248,10,389564
11,11,16,11,11,14,241,28,10,389564
11,11,42,11,11,12,106,139,10,389564
39,11,43,21,21,15,185,66,10,389572
39,11,44,21,21,15,185,65,10,389572
11,11,45,11,11,11,98,145,10,389572
11,11,46,11,11,63,148,42,10,389581
11,11,47,11,11,63,148,41,10,389581
23,11,48,21,21,243,245,18,10,389581
23,11,49,21,21,243,245,17,10,389581
23,11,50,21,21,243,245,16,10,389591
43,11,52,11,11,12,17,228,10,389591
11,11,55,11,35,67,11,142,10,389591
27,11,11,11,11,19,181,98,10,389654
27,11,12,11,82,21,75,130,10,389654
23,11,13,21,18,29,83,177,10,389654
75,11,14,11,11,11,16,13,10,389663
11,11,15,11,11,11,22,251,10,389663
11,11,16,11,11,14,246,23,10,389663
11,11,42,11,11,12,62,183,10,389663
39,11,43,21,21,15,186,65,10,389673
39,11,44,21,21,15,186,64,10,389673
11,11,45,11,11,11,142,101,10,389673
11,11,46,11,11,63,150,40,10,389681
11,11,47,11,11,63,150,39,10,389681
23,11,48,21,21,243,242,21,10,389681
23,11,49,21,21,243,242,20,10,389681
23,11,50,21,21,243,242,19,10,389690
43,11,52,11,11,12,17,228,10,389690
11,11,55,11,35,67,11,142,10,389690
27,11,11,11,11,19,171,108,10,389754
27,11,12,11,82,21,60,145,10,389754
23,11,13,21,20,29,72,186,10,389754
75,11,14,11,11,11,13,16,10,389763
11,11,15,11,11,11,18,255,10,389763
11,11,16,11,11,14,243,26,10,389763
11,11,42,11,11,11,230,16,10,389763
39,11,43,21,21,15,184,67,10,389774
39,11,44,21,21,15,184,66,10,389774
11,11,45,11,11,11,98,145,10,389774
11,11,46,11,11,63,156,34,10,389782
11,11,47,11,11,63,156,33,10,389782
23,11,48,21,21,243,243,20,10,389782
23,11,49,21,21,243,243,19,10,389782
23,11,50,21,21,243,243,18,10,389790
43,11,52,11,11,12,17,228,10,389790
11,11,55,11,35,67,11,142,10,389790
27,11,11,11,13,19,161,116,10,389854
27,11,12,11,79,21,57,151,10,389854
23,11,13,21,19,29,95,164,10,389854
75,11,14,11,11,11,11,18,10,389863
75,11,15,11,11,11,17,11,10,389863
11,11,16,11,11,14,249,20,10,389863
11,11,42,11,11,11,186,60,10,389863
39,11,43,21,21,15,184,67,10,389873
39,11,44,21,21,15,183,67,10,389873
11,11,45,11,11,11,11,232,10,389873
11,11,46,11,11,63,161,29,10,389882
11,11,47,11,11,63,161,28,10,389882
23,11,48,21,21,243,242,21,10,389882
23,11,49,21,21,243,242,20,10,389882
23,11,50,21,21,243,242,19,10,389889
43,11,52,11,11,12,17,228,10,389890
11,11,55,11,35,67,11,142,10,389890
39,11,11,21,20,19,187,93,10,389954
27,11,12,11,79,21,58,150,10,389954
23,11,13,21,21,29,94,163,10,389954
75,11,14,11,11,11,17,12,10,389963
75,11,15,11,11,11,17,11,10,389963
11,11,16,11,11,14,249,20,10,389963
11,11,42,11,11,11,186,60,10,389963
39,11,43,21,21,15,181,70,10,389973
39,11,44,21,21,15,181,69,10,389973
11,11,45,11,11,11,230,13,10,389973
11,11,46,11,11,63,165,25,10,389981
11,11,47,11,11,63,165,24,10,389981
23,11,48,21,21,243,243,20,10,389981
23,11,49,21,21,243,243,19,10,389981
23,11,50,21,21,243,243,18,10,389990
43,11,52,11,11,12,17,228,10,389990
11,11,55,11,35,67,11,142,10,389990
39,11,11,21,20,19,183,97,10,390055
27,11,12,11,80,21,74,133,10,390055
23,11,13,21,20,29,70,188,10,390055
75,11,14,11,11,11,16,13,10,390065
11,11,15,11,11,11,21,252,10,390065
11,11,16,11,11,14,243,26,10,390065
11,11,42,11,11,12,62,183,10,390065
39,11,43,21,21,15,181,70,10,390073
39,11,44,21,21,15,181,69,10,390073
11,11,45,11,11,11,54,189,10,390073
11,11,46,11,11,63,169,21,10,390082
11,11,47,11,11,63,169,20,10,390082
23,11,48,21,21,243,241,22,10,390082
23,11,49,21,21,243,241,21,10,390082
23,11,50,21,21,243,241,20,10,390092
43,11,52,11,11,12,17,228,10,390092
11,11,55,11,35,67,11,142,10,390092
27,11,11,11,11,19,182,97,10,390154
27,11,12,11,79,21,69,139,10,390155
23,11,13,21,18,29,116,144,10,390155
75,11,14,11,11,11,16,13,10,390163
11,11,15,11,11,11,20,253,10,390163
11,11,16,11,11,14,254,15,10,390163
11,11,42,11,11,12,18,227,10,390163
39,11,43,21,21,15,180,71,10,390172
39,11,44,21,21,15,180,70,10,390172
11,11,45,11,11,11,142,101,10,390173
11,11,46,11,11,63,174,16,10,390181
11,11,47,11,11,63,174,15,10,390181
23,11,48,21,21,243,239,24,10,390182
23,11,49,21,21,243,239,23,10,390182
23,11,50,21,21,243,239,22,10,390192
43,11,52,11,11,12,17,228,10,390192
11,11,55,11,35,67,11,142,10,390192
27,11,11,11,11,19,164,115,10,390254
27,11,12,11,79,21,69,139,10,390254
23,11,13,21,18,29,89,171,10,390254
75,11,14,11,11,11,11,18,10,390263
11,11,15,11,11,11,20,253,10,390263
11,11,16,11,11,14,248,21,10,390263
11,11,42,11,11,12,18,227,10,390263
39,11,43,21,21,15,181,70,10,390273
39,11,44,21,21,15,181,69,10,390273
11,11,45,11,11,11,11,232,10,390273
11,11,46,11,11,63,178,12,10,390283
75,11,47,11,11,63,178,21,10,390283
23,11,48,21,21,243,234,29,10,390283
23,11,49,21,21,243,234,28,10,390283
23,11,50,21,21,243,234,27,10,390290
43,11,52,11,11,12,17,228,10,390290
11,11,55,11,35,67,11,142,10,390290
27,11,11,11,12,19,163,115,10,390356
27,11,12,11,82,21,58,147,10,390356
11,11,13,11,11,29,67,190,10,390356
75,11,14,11,11,11,11,18,10,390363
75,11,15,11,11,11,17,11,10,390363
11,11,16,11,11,14,242,27,10,390363
11,11,42,11,11,11,186,60,10,390363
39,11,43,21,21,15,181,70,10,390373
39,11,44,21,21,15,181,69,10,390373
11,11,45,11,11,11,11,232,10,390373
75,11,46,11,11,63,181,19,10,390383
75,11,47,11,11,63,182,17,10,390383
23,11,48,21,21,243,236,27,10,390383
23,11,49,21,21,243,236,26,10,390383
23,11,50,21,21,243,236,25,10,390389
43,11,52,11,11,12,17,228,10,390390
11,11,55,11,35,67,11,142,10,390390
27,11,11,11,12,19,156,122,10,390454
27,11,12,11,81,21,69,137,10,390454
23,11,13,21,19,29,84,175,10,390454
123,11,14,11,11,21,20,19,10,390463
11,11,15,11,11,11,20,253,10,390463
11,11,16,11,11,14,246,23,10,390463
11,11,42,11,11,12,18,227,10,390463
39,11,43,21,21,15,179,72,10,390473
39,11,44,21,21,15,179,71,10,390473
39,11,45,21,21,21,224,19,10,390473
75,11,46,11,11,63,185,15,10,390483
75,11,47,11,11,63,185,14,10,390483
23,11,48,21,21,243,232,31,10,390483
23,11,49,21,21,243,232,30,10,390483
23,11,50,21,21,243,232,29,10,390490
43,11,52,11,11,12,17,228,10,390490
11,11,55,11,35,67,11,142,10,390490
27,11,11,11,12,19,170,108,10,390555
27,11,12,11,81,21,65,141,10,390555
23,11,13,21,19,29,85,174,10,390555
75,11,14,11,11,11,13,16,10,390564
11,11,15,11,11,11,19,254,10,390564
11,11,16,11,11,14,247,22,10,390564
11,11,42,11,11,11,230,16,10,390564
39,11,43,21,21,15,180,71,10,390572
39,11,44,21,21,15,180,70,10,390572
11,11,45,11,11,11,54,189,10,390572
11,11,46,11,11,63,191,254,10,390583
11,11,47,11,11,63,191,253,10,390583
23,11,48,21,21,243,229,34,10,390583
23,11,49,21,21,243,229,33,10,390583
23,11,50,21,21,243,229,32,10,390591
43,11,52,11,11,12,17,228,10,390591
11,11,55,11,35,67,11,142,10,390591
39,11,11,21,21,19,186,93,10,390654
27,11,12,11,78,21,85,124,10,390654
23,11,13,21,19,29,77,182,10,390654
75,11,14,11,11,11,17,12,10,390665
11,11,15,11,11,11,24,249,10,390665
11,11,16,11,11,14,245,24,10,390665
11,11,42,11,11,12,106,139,10,390665
39,11,43,21,21,15,179,72,10,390674
39,11,44,21,21,15,179,71,10,390674
11,11,45,11,11,11,186,57,10,390674
11,11,46,11,11,63,195,250,10,390682
11,11,47,11,11,63,195,249,10,390682
23,11,48,21,21,243,228,35,10,390682
23,11,49,21,21,243,228,34,10,390682
23,11,50,21,21,243,228,33,10,390690
43,11,52,11,11,12,17,228,10,390690
11,11,55,11,35,67,11,142,10,390690
27,11,11,11,15,19,186,89,10,390754
27,11,12,11,83,21,77,127,10,390754
23,11,13,21,20,29,63,195,10,390754
75,11,14,11,12,11,17,11,10,390764
11,11,15,11,12,11,22,250,10,390764
