BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
23,11,47,21,20,245,116,147,10,930156
23,11,48,21,21,97,229,180,10,930162
23,11,49,21,21,97,229,179,10,930165
23,11,50,21,21,97,229,178,10,930169
43,11,52,11,11,12,17,228,10,930177
11,11,55,11,204,67,51,188,10,930180
39,11,11,21,21,18,192,88,10,930212
27,11,12,11,82,21,180,25,10,930285
23,11,13,21,18,29,33,227,10,930292
123,11,14,11,11,21,20,19,10,930296
75,11,15,11,11,11,16,12,10,930299
23,11,16,21,21,14,245,24,10,930310
11,11,42,11,11,11,142,104,10,930315
11,11,43,11,11,46,89,121,10,930318
11,11,44,11,11,46,89,120,10,930321
39,11,45,21,21,21,224,19,10,930328
23,11,46,21,20,245,109,155,10,930332
23,11,47,21,20,245,109,154,10,930336
23,11,48,21,21,97,223,186,10,930340
23,11,49,21,21,97,223,185,10,930346
23,11,50,21,21,97,223,184,10,930350
43,11,52,11,11,12,17,228,10,930355
11,11,55,11,204,67,51,188,10,930359
27,11,11,11,11,18,195,85,10,930362
27,11,12,11,81,21,170,36,10,930368
23,11,13,21,18,29,29,231,10,930371
123,11,14,11,11,21,20,19,10,930376
75,11,15,11,11,11,14,14,10,930380
23,11,16,21,21,14,244,25,10,930385
11,11,42,11,11,11,98,148,10,930389
11,11,43,11,11,46,92,118,10,930392
11,11,44,11,11,46,92,117,10,930397
39,11,45,21,21,21,224,19,10,930399
23,11,46,21,20,245,102,162,10,930402
23,11,47,21,20,245,102,161,10,930407
23,11,48,21,21,97,217,192,10,930415
23,11,49,21,21,97,217,191,10,930419
23,11,50,21,21,97,217,190,10,930425
43,11,52,11,11,12,17,228,10,930428
11,11,55,11,204,67,51,188,10,930431
39,11,11,21,21,18,178,102,10,930436
27,11,12,11,79,21,168,40,10,930442
11,11,13,11,12,29,25,231,10,930447
59,11,14,11,11,21,16,13,10,930450
87,11,15,21,21,11,13,15,10,930454
11,11,16,11,11,14,243,26,10,930460
11,11,42,11,11,11,54,192,10,930463
11,11,43,11,11,46,94,116,10,930466
11,11,44,11,11,46,94,115,10,930475
39,11,45,21,21,21,92,151,10,930478
23,11,46,21,20,245,96,168,10,930483
23,11,47,21,20,245,96,167,10,930486
23,11,48,21,21,97,215,194,10,930491
23,11,49,21,21,97,215,193,10,930496
23,11,50,21,21,97,215,192,10,930499
43,11,52,11,11,12,17,228,10,930503
11,11,55,11,204,67,51,188,10,930513
39,11,11,21,20,18,170,111,10,930516
27,11,12,11,83,21,151,53,10,930520
23,11,13,21,20,29,17,241,10,930524
59,11,14,11,11,21,14,15,10,930527
123,11,15,11,11,21,20,18,10,930532
11,11,16,11,11,14,241,28,10,930535
39,11,42,21,21,21,224,22,10,930538
11,11,43,11,11,46,94,116,10,930544
11,11,44,11,11,46,94,115,10,930550
39,11,45,21,21,21,48,195,10,930553
23,11,46,21,20,245,89,175,10,930557
23,11,47,21,20,245,89,174,10,930563
23,11,48,21,21,97,210,199,10,930565
23,11,49,21,21,97,210,198,10,930569
23,11,50,21,21,97,210,197,10,930575
43,11,52,11,11,12,17,228,10,930579
11,11,55,11,204,67,51,188,10,930585
39,11,11,21,19,18,189,93,10,930613
27,11,12,11,83,21,148,56,10,930618
23,11,13,21,20,29,16,242,10,930621
123,11,14,11,11,21,19,20,10,930625
123,11,15,11,11,21,19,19,10,930630
11,11,16,11,11,14,241,28,10,930633
39,11,42,21,21,21,180,66,10,930638
11,11,43,11,11,46,94,116,10,930644
11,11,44,11,11,46,94,115,10,930647
39,11,45,21,21,21,180,63,10,930650
23,11,46,21,20,245,81,183,10,930655
23,11,47,21,20,245,81,182,10,930659
23,11,48,21,21,97,205,204,10,930662
23,11,49,21,21,97,205,203,10,930667
23,11,50,21,21,97,205,202,10,930670
43,11,52,11,11,12,17,228,10,930677
11,11,55,11,204,67,51,188,10,930682
27,11,11,11,11,18,170,110,10,930713
27,11,12,11,81,21,166,40,10,930715
23,11,13,21,21,29,42,215,10,930719
59,11,14,11,11,21,14,15,10,930723
75,11,15,11,11,11,13,15,10,930727
11,11,16,11,11,14,247,22,10,930733
11,11,42,11,11,11,54,192,10,930736
11,11,43,11,11,46,97,113,10,930741
11,11,44,11,11,46,97,112,10,930746
39,11,45,21,21,21,48,195,10,930748
23,11,46,21,20,245,72,192,10,930751
23,11,47,21,20,245,72,191,10,930758
23,11,48,21,21,97,200,209,10,930762
23,11,49,21,21,97,200,208,10,930768
23,11,50,21,21,97,200,207,10,930771
43,11,52,11,11,12,17,228,10,930775
11,11,55,11,204,67,51,188,10,930778
27,11,11,11,13,18,188,90,10,930813
27,11,12,11,79,21,168,40,10,930816
23,11,13,21,19,29,31,228,10,930819
123,11,14,11,11,21,19,20,10,930823
87,11,15,21,21,11,13,15,10,930829
11,11,16,11,11,14,244,25,10,930832
11,11,42,11,11,11,54,192,10,930834
11,11,43,11,11,46,98,112,10,930841
11,11,44,11,11,46,98,111,10,930844
39,11,45,21,21,21,180,63,10,930846
23,11,46,21,20,245,63,201,10,930853
23,11,47,21,20,245,63,200,10,930856
23,11,48,21,21,97,194,215,10,930859
23,11,49,21,21,97,194,214,10,930864
23,11,50,21,21,97,194,213,10,930867
43,11,52,11,11,12,17,228,10,930870
11,11,55,11,204,67,51,188,10,930876
27,11,11,11,12,18,206,73,10,930912
27,11,12,11,78,21,165,44,10,930917
23,11,13,21,19,29,25,234,10,930920
75,11,14,11,11,11,12,17,10,930926
87,11,15,21,21,11,13,15,10,930929
11,11,16,11,11,14,243,26,10,930933
11,11,42,11,11,11,54,192,10,930941
11,11,43,11,11,46,99,111,10,930944
11,11,44,11,11,46,99,110,10,930947
11,11,45,11,11,11,54,189,10,930954
23,11,46,21,20,245,56,208,10,930958
23,11,47,21,20,245,56,207,10,930963
23,11,48,21,21,97,190,219,10,930968
23,11,49,21,21,97,190,218,10,930971
23,11,50,21,21,97,190,217,10,930977
43,11,52,11,11,12,17,228,10,930980
11,11,55,11,204,67,51,188,10,930983
27,11,11,11,11,18,193,87,10,931012
27,11,12,11,82,21,170,35,10,931016
23,11,13,21,19,29,17,242,10,931018
123,11,14,11,11,21,20,19,10,931025
75,11,15,11,11,11,14,14,10,931028
11,11,16,11,11,14,241,28,10,931030
11,11,42,11,11,11,98,148,10,931035
11,11,43,11,11,46,99,111,10,931039
11,11,44,11,11,46,99,110,10,931042
39,11,45,21,21,21,224,19,10,931048
23,11,46,21,20,245,46,218,10,931050
23,11,47,21,20,245,46,217,10,931054
23,11,48,21,21,97,187,222,10,931059
23,11,49,21,21,97,187,221,10,931062
23,11,50,21,21,97,187,220,10,931065
43,11,52,11,11,12,17,228,10,931070
11,11,55,11,204,67,51,188,10,931074
