BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
23,11,50,21,21,198,87,219,10,559161
43,11,52,11,11,12,17,228,10,559163
75,11,55,11,83,131,35,16,10,559168
39,11,11,21,21,18,127,153,10,559213
11,11,12,11,81,11,20,186,10,559238
23,11,13,21,15,29,19,244,10,559243
123,11,14,11,11,21,18,21,10,559245
123,11,15,11,11,21,21,17,10,559248
11,11,16,11,11,14,244,25,10,559251
39,11,42,21,21,21,224,22,10,559254
23,11,43,21,21,245,26,240,10,559257
23,11,44,21,21,245,26,239,10,559259
39,11,45,21,21,21,136,107,10,559261
23,11,46,21,21,155,36,62,10,559267
23,11,47,21,21,155,36,61,10,559269
23,11,48,21,21,198,84,224,10,559272
23,11,49,21,21,198,84,223,10,559274
23,11,50,21,21,198,84,222,10,559278
43,11,52,11,11,12,17,228,10,559312
75,11,55,11,83,131,35,16,10,559316
39,11,11,21,19,18,146,136,10,559320
11,11,12,11,77,11,35,175,10,559323
23,11,13,21,18,29,11,249,10,559325
75,11,14,11,11,11,11,18,10,559329
87,11,15,21,21,11,13,15,10,559331
11,11,16,11,11,14,243,26,10,559335
11,11,42,11,11,11,54,192,10,559337
23,11,43,21,21,245,25,241,10,559342
23,11,44,21,21,245,25,240,10,559344
11,11,45,11,11,11,11,232,10,559347
23,11,46,21,21,155,30,68,10,559350
23,11,47,21,21,155,30,67,10,559354
23,11,48,21,21,198,82,226,10,559357
23,11,49,21,21,198,82,225,10,559359
23,11,50,21,21,198,82,224,10,559362
43,11,52,11,11,12,17,228,10,559367
75,11,55,11,83,131,35,16,10,559370
39,11,11,21,19,18,165,117,10,559415
11,11,12,11,79,11,45,163,10,559417
23,11,13,21,16,29,18,244,10,559420
75,11,14,11,11,11,16,13,10,559424
75,11,15,11,11,11,16,12,10,559426
11,11,16,11,11,14,244,25,10,559429
11,11,42,11,11,11,142,104,10,559432
23,11,43,21,21,245,24,242,10,559436
23,11,44,21,21,245,24,241,10,559439
11,11,45,11,11,11,142,101,10,559441
23,11,46,21,21,155,27,71,10,559443
23,11,47,21,21,155,27,70,10,559447
23,11,48,21,21,198,79,229,10,559452
23,11,49,21,21,198,79,228,10,559455
23,11,50,21,21,198,79,227,10,559458
43,11,52,11,11,12,17,228,10,559461
75,11,55,11,83,131,35,16,10,559465
39,11,11,21,17,18,157,127,10,559514
11,11,12,11,78,11,26,183,10,559518
23,11,13,21,15,28,249,15,10,559520
75,11,14,11,11,11,14,15,10,559523
75,11,15,11,11,11,11,17,10,559525
11,11,16,11,11,14,238,31,10,559528
11,11,42,11,11,11,11,235,10,559532
23,11,43,21,21,245,25,241,10,559535
23,11,44,21,21,245,25,240,10,559538
11,11,45,11,11,11,98,145,10,559542
23,11,46,21,21,155,25,73,10,559545
23,11,47,21,21,155,25,72,10,559547
23,11,48,21,21,198,77,231,10,559552
23,11,49,21,21,198,77,230,10,559556
23,11,50,21,21,198,77,229,10,559559
43,11,52,11,11,12,17,228,10,559561
75,11,55,11,83,131,35,16,10,559566
39,11,11,21,19,18,153,129,10,559616
11,11,12,11,81,11,35,171,10,559619
23,11,13,21,17,29,15,246,10,559622
75,11,14,11,11,11,13,16,10,559624
75,11,15,11,11,11,13,15,10,559627
11,11,16,11,11,14,243,26,10,559630
11,11,42,11,11,11,54,192,10,559634
23,11,43,21,21,245,22,244,10,559637
23,11,44,21,21,245,22,243,10,559639
11,11,45,11,11,11,54,189,10,559643
23,11,46,21,21,155,22,76,10,559646
23,11,47,21,21,155,22,75,10,559649
23,11,48,21,21,198,75,233,10,559652
23,11,49,21,21,198,74,233,10,559656
23,11,50,21,21,198,74,232,10,559658
43,11,52,11,11,12,17,228,10,559661
75,11,55,11,83,131,35,16,10,559664
39,11,11,21,19,18,144,138,10,559714
11,11,12,11,80,11,25,182,10,559718
23,11,13,21,17,29,21,240,10,559720
75,11,14,11,11,11,11,18,10,559724
75,11,15,11,11,11,11,17,10,559726
11,11,16,11,11,14,245,24,10,559728
11,11,42,11,11,11,11,235,10,559731
23,11,43,21,21,245,20,246,10,559736
23,11,44,21,21,245,20,245,10,559739
11,11,45,11,11,11,11,232,10,559741
23,11,46,21,21,155,20,78,10,559743
23,11,47,21,21,155,20,77,10,559748
23,11,48,21,21,198,71,237,10,559752
23,11,49,21,21,198,71,236,10,559755
23,11,50,21,21,198,71,235,10,559759
43,11,52,11,11,12,17,228,10,559762
75,11,55,11,83,131,35,16,10,559766
39,11,11,21,18,18,139,144,10,559814
11,11,12,11,81,11,44,162,10,559820
119,11,13,21,17,28,13,14,10,559822
123,11,14,11,11,21,21,18,10,559824
75,11,15,11,11,11,16,12,10,559826
11,11,16,11,11,14,240,29,10,559830
11,11,42,11,11,11,142,104,10,559833
23,11,43,21,21,245,18,248,10,559836
23,11,44,21,21,245,18,247,10,559839
39,11,45,21,21,21,224,19,10,559842
23,11,46,21,21,155,17,81,10,559845
23,11,47,21,21,155,17,80,10,559849
23,11,48,21,21,198,66,242,10,559852
23,11,49,21,21,198,66,241,10,559857
23,11,50,21,21,198,66,240,10,559859
43,11,52,11,11,12,17,228,10,559862
75,11,55,11,83,131,35,16,10,559866
27,11,11,11,11,18,148,132,10,559914
11,11,12,11,81,11,39,167,10,559917
23,11,13,21,17,29,15,246,10,559919
75,11,14,11,11,11,12,17,10,559922
75,11,15,11,11,11,14,14,10,559924
11,11,16,11,11,14,243,26,10,559928
11,11,42,11,11,11,98,148,10,559930
23,11,43,21,21,245,14,252,10,559934
23,11,44,21,21,245,14,251,10,559936
11,11,45,11,11,11,54,189,10,559940
23,11,46,21,21,155,15,83,10,559943
23,11,47,21,21,155,15,82,10,559945
23,11,48,21,21,198,62,246,10,559949
23,11,49,21,21,198,62,245,10,559953
23,11,50,21,21,198,62,244,10,559955
43,11,52,11,11,12,17,228,10,559958
75,11,55,11,83,131,35,16,10,559961
39,11,11,21,17,18,141,143,10,560013
11,11,12,11,81,11,28,178,10,560017
119,11,13,21,16,28,15,13,10,560022
123,11,14,11,11,21,21,18,10,560025
75,11,15,11,11,11,12,16,10,560027
11,11,16,11,11,14,241,28,10,560030
11,11,42,11,11,11,54,192,10,560035
23,11,43,21,21,245,13,253,10,560038
23,11,44,21,21,245,13,252,10,560041
39,11,45,21,21,21,224,19,10,560043
23,11,46,21,21,155,11,87,10,560047
23,11,47,21,21,155,11,86,10,560050
23,11,48,21,21,198,60,248,10,560053
23,11,49,21,21,198,60,247,10,560055
23,11,50,21,21,198,60,246,10,560059
43,11,52,11,11,12,17,228,10,560062
75,11,55,11,83,131,35,16,10,560066
39,11,11,21,21,18,152,128,10,560116
11,11,12,11,78,11,31,178,10,560120
23,11,13,21,12,29,20,246,10,560122
75,11,14,11,11,11,13,16,10,560125
75,11,15,11,11,11,12,16,10,560128
23,11,16,21,21,14,245,24,10,560131
11,11,42,11,11,11,54,192,10,560134
23,11,43,21,21,245,15,251,10,560137
23,11,44,21,21,245,15,250,10,560141
11,11,45,11,11,11,54,189,10,560143
55,11,46,21,21,154,18,91,10,560146
55,11,47,21,21,154,18,90,10,560150
23,11,48,21,21,198,56,252,10,560154
23,11,49,21,21,198,56,251,10,560156
23,11,50,21,21,198,56,250,10,560159
43,11,52,11,11,12,17,228,10,560163
75,11,55,11,83,131,35,16,10,560167
39,11,11,21,21,18,160,120,10,560214
11,11,12,11,76,11,42,169,10,560216
23,11,13,21,18,29,23,237,10,560219
75,11,14,11,11,11,15,14,10,560223
87,11,15,21,21,11,15,13,10,560226
11,11,16,11,11,14,245,24,10,560231
11,11,42,11,11,11,142,104,10,560234
23,11,43,21,21,245,14,252,10,560238
23,11,44,21,21,245,14,251,10,560241
11,11,45,11,11,11,142,101,10,560244
55,11,46,21,21,154,15,94,10,560246
55,11,47,21,21,154,15,93,10,560251
23,11,48,21,21,198,54,254,10,560254
23,11,49,21,21,198,54,253,10,560256
23,11,50,21,21,198,54,252,10,560259
43,11,52,11,11,12,17,228,10,560263
75,11,55,11,83,131,35,16,10,560267
39,11,11,21,17,18,143,141,10,560314
11,11,12,11,78,11,33,176,10,560318
55,11,13,21,15,28,19,255,10,560321
75,11,14,11,11,11,11,18,10,560323
75,11,15,11,11,11,13,15,10,560325
11,11,16,11,11,14,242,27,10,560329
11,11,42,11,11,11,54,192,10,560333
23,11,43,21,21,245,12,254,10,560336
23,11,44,21,21,245,12,253,10,560340
11,11,45,11,11,11,11,232,10,560344
23,11,46,21,21,154,255,99,10,560346
23,11,47,21,21,154,255,98,10,560350
87,11,48,21,21,198,50,13,10,560354
87,11,49,21,21,198,50,12,10,560356
87,11,50,21,21,198,50,11,10,560359
43,11,52,11,11,12,17,228,10,560361
75,11,55,11,83,131,35,16,10,560366
39,11,11,21,20,18,146,135,10,560413
11,11,12,11,80,11,19,188,10,560416
23,11,13,21,18,29,25,235,10,560419
75,11,14,11,11,11,11,18,10,560422
123,11,15,11,11,21,20,18,10,560426
11,11,16,11,11,14,246,23,10,560428
39,11,42,21,21,21,224,22,10,560433
23,11,43,21,21,245,12,254,10,560435
23,11,44,21,21,245,12,253,10,560439
11,11,45,11,11,11,11,232,10,560441
23,11,46,21,21,154,251,103,10,560444
23,11,47,21,21,154,251,102,10,560448
