BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
39,11,11,21,20,18,139,142,10,800658
11,11,12,11,78,11,14,195,10,800694
23,11,13,21,17,29,11,250,10,800697
123,11,14,11,11,21,21,18,10,800700
123,11,15,11,11,21,19,19,10,800703
11,11,16,11,11,14,243,26,10,800706
39,11,42,21,21,21,180,66,10,800710
23,11,43,21,21,241,123,147,10,800712
23,11,44,21,21,241,123,146,10,800714
39,11,45,21,21,21,224,19,10,800718
23,11,46,21,21,121,246,141,10,800721
23,11,47,21,21,121,246,140,10,800724
23,11,48,21,21,168,220,118,10,800727
23,11,49,21,21,168,220,117,10,800729
23,11,50,21,21,168,220,116,10,800732
43,11,52,11,11,12,17,228,10,800737
11,11,55,11,115,171,35,189,10,800740
39,11,11,21,20,18,150,131,10,800758
11,11,12,11,79,11,30,178,10,800786
23,11,13,21,15,28,231,33,10,800790
75,11,14,11,11,11,12,17,10,800793
75,11,15,11,11,11,12,16,10,800795
11,11,16,11,11,14,234,35,10,800798
11,11,42,11,11,11,54,192,10,800803
23,11,43,21,21,241,124,146,10,800806
23,11,44,21,21,241,124,145,10,800809
11,11,45,11,11,11,54,189,10,800811
23,11,46,21,21,121,242,145,10,800815
23,11,47,21,21,121,242,144,10,800819
23,11,48,21,21,168,216,122,10,800821
23,11,49,21,21,168,216,121,10,800824
23,11,50,21,21,168,216,120,10,800828
43,11,52,11,11,12,17,228,10,800830
11,11,55,11,115,171,35,189,10,800835
39,11,11,21,19,18,138,144,10,800859
11,11,12,11,80,11,28,179,10,800861
119,11,13,21,16,28,15,13,10,800867
123,11,14,11,11,21,21,18,10,800871
75,11,15,11,11,11,12,16,10,800874
11,11,16,11,11,14,241,28,10,800877
11,11,42,11,11,11,54,192,10,800880
23,11,43,21,21,241,124,146,10,800882
23,11,44,21,21,241,124,145,10,800886
39,11,45,21,21,21,224,19,10,800889
23,11,46,21,21,121,236,151,10,800892
23,11,47,21,21,121,236,150,10,800895
23,11,48,21,21,168,211,127,10,800897
23,11,49,21,21,168,211,126,10,800903
23,11,50,21,21,168,211,125,10,800905
43,11,52,11,11,12,17,228,10,800908
11,11,55,11,115,171,35,189,10,800911
39,11,11,21,19,18,146,136,10,800958
11,11,12,11,84,11,19,184,10,800960
119,11,13,21,11,28,17,16,10,800962
75,11,14,11,11,11,11,18,10,800969
123,11,15,11,11,21,20,18,10,800973
23,11,16,21,21,14,241,28,10,800975
39,11,42,21,21,21,224,22,10,800978
23,11,43,21,21,241,124,146,10,800984
23,11,44,21,21,241,124,145,10,800987
