BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
39,11,11,21,19,18,120,162,10,1301244
11,11,12,11,79,11,47,161,10,1301279
23,11,13,21,15,29,37,226,10,1301283
59,11,14,11,11,21,16,13,10,1301286
75,11,15,11,11,11,16,12,10,1301288
11,11,16,11,11,14,249,20,10,1301290
11,11,42,11,11,11,142,104,10,1301293
23,11,43,21,21,232,105,174,10,1301297
23,11,44,21,21,232,105,173,10,1301301
39,11,45,21,21,21,92,151,10,1301303
23,11,46,21,21,47,110,96,10,1301340
23,11,47,21,21,47,110,95,10,1301345
23,11,48,21,21,102,20,129,10,1301348
23,11,49,21,21,102,20,128,10,1301352
23,11,50,21,21,102,20,127,10,1301355
43,11,52,11,11,12,17,228,10,1301358
27,11,55,11,195,14,43,13,10,1301361
27,11,11,11,11,18,122,158,10,1301364
11,11,12,11,79,11,32,176,10,1301369
23,11,13,21,18,28,249,12,10,1301372
59,11,14,11,11,21,17,12,10,1301374
75,11,15,11,11,11,13,15,10,1301379
11,11,16,11,11,14,238,31,10,1301382
11,11,42,11,11,11,54,192,10,1301385
23,11,43,21,21,232,104,175,10,1301387
23,11,44,21,21,232,104,174,10,1301391
39,11,45,21,21,21,136,107,10,1301393
23,11,46,21,21,47,101,105,10,1301396
23,11,47,21,21,47,101,104,10,1301400
23,11,48,21,21,102,17,132,10,1301403
23,11,49,21,21,102,17,131,10,1301405
23,11,50,21,21,102,17,130,10,1301407
43,11,52,11,11,12,17,228,10,1301410
27,11,55,11,195,14,43,13,10,1301413
27,11,11,11,11,18,154,126,10,1301444
11,11,12,11,79,11,46,162,10,1301447
87,11,13,21,16,28,254,19,10,1301452
75,11,14,11,11,11,13,16,10,1301454
75,11,15,11,11,11,16,12,10,1301456
11,11,16,11,11,14,239,30,10,1301460
11,11,42,11,11,11,142,104,10,1301462
23,11,43,21,21,232,106,173,10,1301466
23,11,44,21,21,232,106,172,10,1301469
11,11,45,11,11,11,54,189,10,1301472
23,11,46,21,21,47,97,109,10,1301475
23,11,47,21,21,47,97,108,10,1301478
23,11,48,21,21,102,13,136,10,1301482
23,11,49,21,21,102,13,135,10,1301485
23,11,50,21,21,102,13,134,10,1301489
43,11,52,11,11,12,17,228,10,1301491
27,11,55,11,195,14,43,13,10,1301494
39,11,11,21,16,18,139,146,10,1301543
11,11,12,11,78,11,13,196,10,1301545
23,11,13,21,17,29,38,223,10,1301549
135,11,14,21,21,21,21,18,10,1301552
123,11,15,11,11,21,19,19,10,1301554
11,11,16,11,11,14,249,20,10,1301558
39,11,42,21,21,21,180,66,10,1301561
23,11,43,21,21,232,105,174,10,1301565
23,11,44,21,21,232,105,173,10,1301568
39,11,45,21,21,21,224,19,10,1301575
23,11,46,21,21,47,95,111,10,1301578
23,11,47,21,21,47,95,110,10,1301581
23,11,48,21,21,102,13,136,10,1301586
23,11,49,21,21,102,13,135,10,1301588
23,11,50,21,21,102,13,134,10,1301591
43,11,52,11,11,12,17,228,10,1301593
27,11,55,11,195,14,43,13,10,1301599
39,11,11,21,20,18,140,141,10,1301644
11,11,12,11,77,11,23,187,10,1301646
23,11,13,21,16,29,19,243,10,1301649
123,11,14,11,11,21,21,18,10,1301652
135,11,15,21,21,21,21,17,10,1301655
11,11,16,11,11,14,244,25,10,1301658
39,11,42,21,21,21,224,22,10,1301660
23,11,43,21,21,232,107,172,10,1301663
23,11,44,21,21,232,107,171,10,1301669
39,11,45,21,21,21,224,19,10,1301671
23,11,46,21,21,47,90,116,10,1301674
23,11,47,21,21,47,90,115,10,1301676
23,11,48,21,21,102,12,137,10,1301680
23,11,49,21,21,102,12,136,10,1301685
23,11,50,21,21,102,12,135,10,1301687
43,11,52,11,11,12,17,228,10,1301691
27,11,55,11,195,14,43,13,10,1301694
27,11,11,11,12,18,127,152,10,1301744
11,11,12,11,79,11,24,184,10,1301746
119,11,13,21,15,28,17,12,10,1301750
123,11,14,11,12,21,18,20,10,1301754
75,11,15,11,11,11,11,17,10,1301756
11,11,16,11,11,14,241,28,10,1301758
11,11,42,11,11,11,11,235,10,1301761
23,11,43,21,21,232,109,170,10,1301767
23,11,44,21,21,232,109,169,10,1301769
39,11,45,21,21,21,136,107,10,1301772
23,11,46,21,21,47,86,120,10,1301776
23,11,47,21,21,47,86,119,10,1301778
55,11,48,21,21,101,20,140,10,1301782
55,11,49,21,21,101,20,139,10,1301785
55,11,50,21,21,101,20,138,10,1301789
11,11,52,11,11,12,254,236,10,1301791
27,11,55,11,195,14,43,13,10,1301795
39,11,11,21,18,18,133,150,10,1301845
11,11,12,11,79,11,32,176,10,1301849
23,11,13,21,15,29,44,219,10,1301851
123,11,14,11,11,21,19,20,10,1301854
75,11,15,11,11,11,13,15,10,1301857
11,11,16,11,11,14,251,18,10,1301860
11,11,42,11,11,11,54,192,10,1301863
23,11,43,21,21,232,107,172,10,1301866
23,11,44,21,21,232,107,171,10,1301870
39,11,45,21,21,21,180,63,10,1301873
23,11,46,21,21,47,85,121,10,1301876
23,11,47,21,21,47,85,120,10,1301878
55,11,48,21,21,101,15,145,10,1301884
55,11,49,21,21,101,15,144,10,1301886
55,11,50,21,21,101,15,143,10,1301889
43,11,52,11,11,12,17,228,10,1301892
27,11,55,11,195,14,43,13,10,1301896
27,11,11,11,11,18,129,151,10,1301944
11,11,12,11,82,11,31,174,10,1301948
23,11,13,21,14,29,40,224,10,1301952
123,11,14,11,11,21,18,21,10,1301955
75,11,15,11,11,11,12,16,10,1301957
11,11,16,11,11,14,250,19,10,1301959
11,11,42,11,11,11,54,192,10,1301963
23,11,43,21,21,232,107,172,10,1301967
23,11,44,21,21,232,107,171,10,1301970
39,11,45,21,21,21,136,107,10,1301972
23,11,46,21,21,47,80,126,10,1301976
23,11,47,21,21,47,80,125,10,1301978
23,11,48,21,21,101,255,150,10,1301982
23,11,49,21,21,101,255,149,10,1301985
23,11,50,21,21,101,255,148,10,1301988
43,11,52,11,11,12,17,228,10,1301991
27,11,55,11,195,14,43,13,10,1301994
39,11,11,21,20,18,128,153,10,1302044
11,11,12,11,78,11,20,189,10,1302047
23,11,13,21,19,29,37,222,10,1302051
123,11,14,11,11,21,18,21,10,1302053
123,11,15,11,11,21,21,17,10,1302056
11,11,16,11,11,14,249,20,10,1302059
39,11,42,21,21,21,224,22,10,1302062
23,11,43,21,21,232,106,173,10,1302064
23,11,44,21,21,232,106,172,10,1302068
39,11,45,21,21,21,136,107,10,1302071
23,11,46,21,21,47,72,134,10,1302073
23,11,47,21,21,47,72,133,10,1302076
23,11,48,21,21,101,253,152,10,1302080
23,11,49,21,21,101,253,151,10,1302083
23,11,50,21,21,101,253,150,10,1302086
43,11,52,11,11,12,17,228,10,1302089
27,11,55,11,195,14,43,13,10,1302094
39,11,11,21,19,18,133,149,10,1302143
11,11,12,11,79,11,30,178,10,1302145
23,11,13,21,16,29,42,220,10,1302151
123,11,14,11,11,21,19,20,10,1302153
75,11,15,11,11,11,12,16,10,1302156
11,11,16,11,11,14,250,19,10,1302158
11,11,42,11,11,11,54,192,10,1302162
23,11,43,21,21,232,106,173,10,1302166
23,11,44,21,21,232,106,172,10,1302168
39,11,45,21,21,21,180,63,10,1302171
23,11,46,21,21,47,69,137,10,1302175
23,11,47,21,21,47,69,136,10,1302177
23,11,48,21,21,101,252,153,10,1302180
23,11,49,21,21,101,252,152,10,1302184
23,11,50,21,21,101,252,151,10,1302188
43,11,52,11,11,12,17,228,10,1302190
27,11,55,11,195,14,43,13,10,1302193
39,11,11,21,20,18,145,136,10,1302244
11,11,12,11,81,11,21,185,10,1302246
87,11,13,21,16,28,252,21,10,1302250
75,11,14,11,11,11,11,18,10,1302254
123,11,15,11,11,21,21,17,10,1302259
11,11,16,11,11,14,239,30,10,1302261
39,11,42,21,21,21,224,22,10,1302264
23,11,43,21,21,232,105,174,10,1302269
23,11,44,21,21,232,105,173,10,1302271
11,11,45,11,11,11,11,232,10,1302274
23,11,46,21,21,47,67,139,10,1302278
23,11,47,21,21,47,67,138,10,1302283
23,11,48,21,21,101,249,156,10,1302285
23,11,49,21,21,101,249,155,10,1302288
23,11,50,21,21,101,249,154,10,1302293
43,11,52,11,11,12,17,228,10,1302296
27,11,55,11,195,14,43,13,10,1302300
39,11,11,21,18,18,129,154,10,1302344
11,11,12,11,80,11,33,174,10,1302346
23,11,13,21,16,28,247,16,10,1302351
