BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
27,11,55,11,111,15,231,163,10,108428
91,11,11,11,11,20,19,14,10,108495
91,11,12,11,81,20,204,13,10,108495
23,11,13,21,18,29,104,156,10,108495
75,11,14,11,11,11,11,18,10,108505
123,11,15,11,11,21,21,17,10,108505
11,11,16,11,11,14,244,25,10,108505
39,11,42,21,21,21,224,22,10,108505
11,11,43,11,11,28,252,231,10,108512
11,11,44,11,11,24,116,115,10,108512
11,11,45,11,11,11,11,232,10,108512
23,11,46,21,21,213,116,179,10,108521
23,11,47,21,21,221,124,162,10,108521
23,11,48,21,21,188,117,201,10,108521
23,11,49,21,21,188,117,200,10,108521
23,11,50,21,21,188,117,199,10,108529
11,11,52,11,11,11,11,225,10,108529
27,11,55,11,111,15,231,163,10,108529
103,11,11,21,16,20,20,18,10,108595
27,11,12,11,83,20,207,253,10,108595
23,11,13,21,18,29,105,155,10,108595
87,11,14,21,21,11,12,17,10,108605
123,11,15,11,11,21,21,17,10,108605
11,11,16,11,11,14,244,25,10,108605
39,11,42,21,21,21,224,22,10,108605
11,11,43,11,11,28,253,230,10,108611
11,11,44,11,11,24,118,113,10,108611
11,11,45,11,11,11,54,189,10,108611
23,11,46,21,21,213,114,181,10,108620
23,11,47,21,21,221,129,157,10,108620
23,11,48,21,21,188,113,205,10,108620
23,11,49,21,21,188,113,204,10,108620
23,11,50,21,21,188,113,203,10,108628
11,11,52,11,11,11,11,225,10,108628
27,11,55,11,111,15,231,163,10,108628
39,11,11,21,21,20,27,251,10,108694
91,11,12,11,82,20,199,17,10,108694
23,11,13,21,18,29,110,150,10,108694
75,11,14,11,11,11,13,16,10,108703
123,11,15,11,11,21,19,19,10,108703
11,11,16,11,11,14,246,23,10,108703
39,11,42,21,21,21,180,66,10,108703
43,11,43,11,11,28,11,227,10,108712
11,11,44,11,11,24,109,122,10,108712
11,11,45,11,11,11,54,189,10,108712
23,11,46,21,21,213,111,184,10,108721
23,11,47,21,21,221,126,160,10,108721
23,11,48,21,21,188,107,211,10,108721
23,11,49,21,21,188,107,210,10,108721
23,11,50,21,21,188,107,209,10,108730
11,11,52,11,11,11,11,225,10,108730
27,11,55,11,111,15,231,163,10,108730
71,11,11,21,20,19,21,14,10,108795
91,11,12,11,81,20,197,20,10,108795
23,11,13,21,17,29,119,142,10,108795
123,11,14,11,11,21,20,19,10,108803
123,11,15,11,11,21,19,19,10,108803
11,11,16,11,11,14,248,21,10,108803
39,11,42,21,21,21,180,66,10,108803
43,11,43,11,11,28,11,227,10,108813
11,11,44,11,11,24,109,122,10,108813
39,11,45,21,21,21,224,19,10,108813
23,11,46,21,21,213,108,187,10,108820
23,11,47,21,21,221,111,175,10,108820
23,11,48,21,21,188,103,215,10,108820
23,11,49,21,21,188,103,214,10,108820
23,11,50,21,21,188,103,213,10,108830
