BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
27,11,11,11,11,18,153,127,10,24169
27,11,12,11,78,21,116,93,10,24172
23,11,13,21,15,29,38,225,10,24174
75,11,14,11,11,11,13,16,10,24181
75,11,15,11,11,11,13,15,10,24186
23,11,16,21,21,14,248,21,10,24190
11,11,42,11,11,11,54,192,10,24193
11,11,43,11,11,11,11,234,10,24196
11,11,44,11,11,11,11,233,10,24199
11,11,45,11,11,11,54,189,10,24206
71,11,46,21,21,21,16,236,10,24208
71,11,47,21,21,21,16,235,10,24211
71,11,48,21,21,21,17,233,10,24219
71,11,49,21,21,21,17,232,10,24222
71,11,50,21,21,21,17,231,10,24236
11,11,52,11,11,11,198,38,10,24240
11,11,55,11,11,11,11,222,10,24244
39,11,11,21,21,18,148,132,10,24246
27,11,12,11,80,21,103,104,10,24249
75,11,13,11,11,28,248,20,10,24256
27,11,11,11,13,18,126,152,10,24268
27,11,12,11,78,21,120,89,10,24272
11,11,13,11,12,29,30,226,10,24275
123,11,14,11,12,21,18,20,10,24283
75,11,15,11,11,11,14,14,10,24287
11,11,16,11,11,14,246,23,10,24291
11,11,42,11,11,11,98,148,10,24293
11,11,43,11,11,11,51,194,10,24297
11,11,44,11,11,11,51,193,10,24300
39,11,45,21,21,21,136,107,10,24306
39,11,46,21,21,21,215,27,10,24309
39,11,47,21,21,21,215,26,10,24310
39,11,48,21,21,21,180,60,10,24319
39,11,49,21,21,21,180,59,10,24322
39,11,50,21,21,21,180,58,10,24337
11,11,52,11,11,11,198,38,10,24342
11,11,55,11,11,11,11,222,10,24344
27,11,11,11,11,18,145,135,10,24367
27,11,12,11,83,21,101,103,10,24372
23,11,13,21,19,29,25,234,10,24375
75,11,14,11,11,11,11,18,10,24378
123,11,15,11,11,21,20,18,10,24388
11,11,16,11,11,14,245,24,10,24390
39,11,42,21,21,21,224,22,10,24397
11,11,43,11,11,11,53,192,10,24399
11,11,44,11,11,11,53,191,10,24404
11,11,45,11,11,11,11,232,10,24410
39,11,46,21,21,21,212,30,10,24413
39,11,47,21,21,21,212,29,10,24416
39,11,48,21,21,21,178,62,10,24424
39,11,49,21,21,21,178,61,10,24427
39,11,50,21,21,21,178,60,10,24432
11,11,52,11,11,11,198,38,10,24436
11,11,55,11,11,11,11,222,10,24441
27,11,11,11,11,18,150,130,10,24468
27,11,12,11,82,21,105,100,10,24471
23,11,13,21,17,29,34,227,10,24474
75,11,14,11,11,11,12,17,10,24476
123,11,15,11,11,21,21,17,10,24490
11,11,16,11,11,14,247,22,10,24493
39,11,42,21,21,21,224,22,10,24497
