BYTE 0 ,BYTE 1,BYTE 2,BYTE 3,BYTE 4,BYTE 5,BYTE 6,BYTE 7,BYTE 8,Time (ms)
11,11,43,11,11,17,188,51,10,118524
11,11,44,11,11,17,188,50,10,118529
11,11,45,11,11,11,230,13,10,118532
23,11,46,21,21,236,236,36,10,118536
23,11,47,21,21,236,236,35,10,118545
39,11,48,21,21,14,53,194,10,118548
39,11,49,21,21,14,53,193,10,118555
39,11,50,21,21,14,53,192,10,118558
11,11,52,11,11,11,182,54,10,118564
11,11,55,11,19,43,11,182,10,118570
39,11,11,21,20,18,150,131,10,118592
27,11,12,11,88,21,148,51,10,118661
23,11,13,21,19,29,12,247,10,118667
75,11,14,11,11,11,12,17,10,118672
11,11,15,11,13,11,20,251,10,118676
11,11,16,11,11,14,242,27,10,118679
11,11,42,11,11,12,18,227,10,118682
11,11,43,11,11,17,191,48,10,118687
11,11,44,11,11,17,191,47,10,118694
11,11,45,11,11,11,54,189,10,118697
23,11,46,21,21,236,251,21,10,118700
23,11,47,21,21,236,251,20,10,118707
39,11,48,21,21,14,45,202,10,118711
39,11,49,21,21,14,45,201,10,118717
39,11,50,21,21,14,45,200,10,118721
11,11,52,11,11,11,198,38,10,118725
11,11,55,11,19,43,11,182,10,118730
39,11,11,21,17,18,156,128,10,118733
27,11,12,11,87,21,154,46,10,118737
23,11,13,21,18,29,15,245,10,118741
87,11,14,21,21,11,14,15,10,118744
11,11,15,11,12,11,22,250,10,118746
11,11,16,11,11,14,242,27,10,118748
11,11,42,11,11,12,62,183,10,118755
11,11,43,11,11,17,192,47,10,118758
11,11,44,11,11,17,192,46,10,118761
11,11,45,11,11,11,98,145,10,118767
23,11,46,21,21,237,20,251,10,118772
23,11,47,21,21,237,20,250,10,118775
39,11,48,21,21,14,42,205,10,118781
39,11,49,21,21,14,42,204,10,118785
39,11,50,21,21,14,42,203,10,118789
11,11,52,11,11,11,190,46,10,118796
11,11,55,11,19,43,11,182,10,118799
31,11,11,21,254,18,155,137,10,118805
27,11,12,11,77,21,163,47,10,118809
23,11,13,21,19,29,27,232,10,118813
87,11,14,21,19,11,14,17,10,118816
23,11,15,21,21,11,24,249,10,118820
11,11,16,11,11,14,245,24,10,118825
11,11,42,11,11,12,106,139,10,118828
11,11,43,11,11,17,172,67,10,118831
11,11,44,11,11,17,172,66,10,118839
11,11,45,11,11,11,98,145,10,118842
55,11,46,21,21,236,11,16,10,118847
55,11,47,21,21,236,11,15,10,118850
39,11,48,21,21,14,40,207,10,118854
39,11,49,21,21,14,40,206,10,118860
39,11,50,21,21,14,40,205,10,118863
11,11,52,11,11,11,190,46,10,118867
11,11,55,11,19,43,11,182,10,118876
27,11,11,11,12,18,169,110,10,118892
27,11,12,11,82,21,161,44,10,118896
23,11,13,21,19,29,29,230,10,118898
75,11,14,11,11,11,17,12,10,118903
11,11,15,11,11,11,24,249,10,118909
11,11,16,11,11,14,246,23,10,118911
11,11,42,11,11,12,106,139,10,118914
11,11,43,11,11,17,166,73,10,118922
11,11,44,11,11,17,166,72,10,118925
11,11,45,11,11,11,186,57,10,118931
23,11,46,21,21,236,243,29,10,118934
23,11,47,21,21,236,243,28,10,118938
39,11,48,21,21,14,37,210,10,118943
39,11,49,21,21,14,37,209,10,118947
39,11,50,21,21,14,37,208,10,118950
11,11,52,11,11,11,198,38,10,118957
11,11,55,11,19,43,11,182,10,118959
39,11,11,21,20,18,162,119,10,118992
27,11,12,11,77,21,135,75,10,118995
23,11,13,21,18,29,34,226,10,118998
75,11,14,11,11,11,15,14,10,119004
87,11,15,21,21,11,17,11,10,119007
11,11,16,11,11,14,247,22,10,119010
11,11,42,11,11,11,186,60,10,119017
11,11,43,11,11,17,149,90,10,119021
11,11,44,11,11,17,149,89,10,119024
11,11,45,11,11,11,142,101,10,119029
23,11,46,21,21,236,224,48,10,119032
23,11,47,21,21,236,224,47,10,119037
39,11,48,21,21,14,37,210,10,119041
39,11,49,21,21,14,37,209,10,119044
39,11,50,21,21,14,37,208,10,119047
11,11,52,11,11,11,198,38,10,119052
11,11,55,11,19,43,11,182,10,119058
27,11,11,11,19,18,161,111,10,119091
27,11,12,11,89,21,155,43,10,119094
23,11,13,21,21,29,20,237,10,119097
75,11,14,11,13,11,15,12,10,119101
11,11,15,11,13,11,22,249,10,119107
11,11,16,11,11,14,244,25,10,119110
11,11,42,11,11,12,62,183,10,119112
11,11,43,11,11,17,163,76,10,119120
11,11,44,11,11,17,163,75,10,119123
11,11,45,11,11,11,142,101,10,119128
